idno,standard-name,author,date,decade,short-title,title,type,genre,sub-genre,form,persp,group
rp001,Daenin_Meurtres,Daeninckx,1984,1980s,Meurtres,"Meurtres pour Memoire",narrative,novel,crime-fiction,prose,mixed,other
rp002,Leblan_Gentleman,Leblanc,1907,1900s,Gentleman,"Gentleman cambrioleur",narrative,novel,crime-fiction,prose,homod,Lupin
rp003,Leroux_Hardigras,Leroux,1925,1920s,Hardigras,"Aventures de Hardigras",narrative,novel,crime-fiction,prose,heterod,other
