,Leblanc_1920=rp141,Leblanc_1909=rp037
1,1.0797503617163712e-05,1.5489227242452876e-05
10,2.1595007234327425e-05,1.5489227242452876e-05
11,1.0797503617163712e-05,3.097845448490575e-05
12,2.1595007234327425e-05,0.0
13,1.0797503617163712e-05,0.0
14,1.0797503617163712e-05,3.097845448490575e-05
17,2.1595007234327425e-05,4.646768172735862e-05
1902,1.0797503617163712e-05,0.0
1914,1.0797503617163712e-05,0.0
1917,3.239251085149114e-05,0.0
2,1.0797503617163712e-05,1.5489227242452876e-05
3,2.1595007234327425e-05,6.19569089698115e-05
4,1.0797503617163712e-05,3.097845448490575e-05
9,1.0797503617163712e-05,1.5489227242452876e-05
a,0.005269181765175891,0.005808460215919828
abaissa,1.0797503617163712e-05,0.0
abaissait,1.0797503617163712e-05,0.0
abandonna,2.1595007234327425e-05,0.0
abandonnaient,1.0797503617163712e-05,0.0
abandonnait,2.1595007234327425e-05,0.0
abandonner,3.239251085149114e-05,6.19569089698115e-05
abandonnez,1.0797503617163712e-05,0.0
abandonné,1.0797503617163712e-05,1.5489227242452876e-05
abandonnée,0.00015116505064029196,3.097845448490575e-05
abandonnées,1.0797503617163712e-05,1.5489227242452876e-05
abasourdis,1.0797503617163712e-05,0.0
abat,1.0797503617163712e-05,0.0
abattait,2.1595007234327425e-05,0.0
abattant,1.0797503617163712e-05,0.0
abattement,1.0797503617163712e-05,0.0
abattit,5.398751808581856e-05,4.646768172735862e-05
abattrait,1.0797503617163712e-05,0.0
abattre,1.0797503617163712e-05,3.097845448490575e-05
abattrons,1.0797503617163712e-05,0.0
abattu,3.239251085149114e-05,3.097845448490575e-05
abbatiale,1.0797503617163712e-05,1.5489227242452876e-05
abbaye,4.319001446865485e-05,3.097845448490575e-05
abbé,5.398751808581856e-05,1.5489227242452876e-05
abbés,1.0797503617163712e-05,0.0
abel,8.63800289373097e-05,0.0
aberrations,1.0797503617163712e-05,0.0
abhorrées,1.0797503617163712e-05,0.0
aboiements,1.0797503617163712e-05,0.0
aboli,1.0797503617163712e-05,0.0
abominable,8.63800289373097e-05,1.5489227242452876e-05
abominablement,1.0797503617163712e-05,1.5489227242452876e-05
abomination,2.1595007234327425e-05,0.0
abondante,1.0797503617163712e-05,0.0
abondantes,1.0797503617163712e-05,0.0
abord,0.0003779126266007299,0.00038723068106132183
abordable,1.0797503617163712e-05,1.5489227242452876e-05
abordais,1.0797503617163712e-05,0.0
abordant,2.1595007234327425e-05,0.0
aborder,2.1595007234327425e-05,1.5489227242452876e-05
abordons,1.0797503617163712e-05,0.0
abords,1.0797503617163712e-05,0.0
aboutir,2.1595007234327425e-05,3.097845448490575e-05
aboutissait,1.0797503617163712e-05,3.097845448490575e-05
aboutit,2.1595007234327425e-05,4.646768172735862e-05
aboya,2.1595007234327425e-05,1.5489227242452876e-05
aboyait,1.0797503617163712e-05,0.0
abri,0.00011877253978880082,4.646768172735862e-05
abritait,1.0797503617163712e-05,0.0
abrupt,1.0797503617163712e-05,3.097845448490575e-05
abrupte,3.239251085149114e-05,1.5489227242452876e-05
abruptes,1.0797503617163712e-05,0.0
abruti,2.1595007234327425e-05,0.0
abrège,1.0797503617163712e-05,0.0
absence,3.239251085149114e-05,3.097845448490575e-05
absente,2.1595007234327425e-05,0.0
absolue,4.319001446865485e-05,9.293536345471724e-05
absolument,8.63800289373097e-05,0.00010842459069717012
absorbait,2.1595007234327425e-05,0.0
absorbée,1.0797503617163712e-05,0.0
absurde,0.00012957004340596455,4.646768172735862e-05
absurdes,4.319001446865485e-05,1.5489227242452876e-05
absurdité,1.0797503617163712e-05,0.0
abusent,1.0797503617163712e-05,0.0
abîme,0.0001727600578746194,4.646768172735862e-05
abîmé,1.0797503617163712e-05,0.0
ac,1.0797503617163712e-05,0.0
accablait,1.0797503617163712e-05,0.0
accablante,1.0797503617163712e-05,0.0
accablèrent,1.0797503617163712e-05,0.0
accalmie,1.0797503617163712e-05,0.0
accent,1.0797503617163712e-05,7.744613621226437e-05
accentua,1.0797503617163712e-05,0.0
accentuait,4.319001446865485e-05,1.5489227242452876e-05
accentuer,1.0797503617163712e-05,0.0
acceptait,1.0797503617163712e-05,1.5489227242452876e-05
accepte,7.558252532014598e-05,1.5489227242452876e-05
accepter,2.1595007234327425e-05,0.0
acceptez,3.239251085149114e-05,1.5489227242452876e-05
accepté,6.478502170298228e-05,1.5489227242452876e-05
accessible,1.0797503617163712e-05,0.0
accommoda,1.0797503617163712e-05,0.0
accommoder,1.0797503617163712e-05,1.5489227242452876e-05
accompagnait,5.398751808581856e-05,0.0
accompagner,2.1595007234327425e-05,3.097845448490575e-05
accompagné,2.1595007234327425e-05,6.19569089698115e-05
accompagnée,6.478502170298228e-05,1.5489227242452876e-05
accompli,2.1595007234327425e-05,4.646768172735862e-05
accomplie,2.1595007234327425e-05,1.5489227242452876e-05
accomplir,7.558252532014598e-05,6.19569089698115e-05
accomplirait,1.0797503617163712e-05,0.0
accomplis,5.398751808581856e-05,0.0
accomplissant,1.0797503617163712e-05,0.0
accomplisse,1.0797503617163712e-05,0.0
accomplissement,2.1595007234327425e-05,0.0
accomplissent,2.1595007234327425e-05,0.0
accomplit,1.0797503617163712e-05,1.5489227242452876e-05
accomplît,1.0797503617163712e-05,0.0
accord,0.0001943550651089468,7.744613621226437e-05
accorde,1.0797503617163712e-05,0.0
accoste,1.0797503617163712e-05,0.0
accouple,1.0797503617163712e-05,0.0
accoure,1.0797503617163712e-05,0.0
accourent,1.0797503617163712e-05,0.0
accoururent,1.0797503617163712e-05,0.0
accourut,1.0797503617163712e-05,3.097845448490575e-05
accoutrement,1.0797503617163712e-05,0.0
accoutumaient,1.0797503617163712e-05,0.0
accrocha,1.0797503617163712e-05,4.646768172735862e-05
accrochait,2.1595007234327425e-05,3.097845448490575e-05
accrochant,2.1595007234327425e-05,0.0
accroche,1.0797503617163712e-05,0.0
accrocher,2.1595007234327425e-05,0.0
accroché,1.0797503617163712e-05,1.5489227242452876e-05
accrochée,4.319001446865485e-05,3.097845448490575e-05
accrochées,1.0797503617163712e-05,0.0
accrochés,1.0797503617163712e-05,1.5489227242452876e-05
accroissement,1.0797503617163712e-05,0.0
accroupi,1.0797503617163712e-05,1.5489227242452876e-05
accroupie,1.0797503617163712e-05,0.0
accroupis,1.0797503617163712e-05,0.0
accroupit,1.0797503617163712e-05,0.0
accrue,1.0797503617163712e-05,0.0
accrut,1.0797503617163712e-05,0.0
accueil,1.0797503617163712e-05,0.0
accueilli,2.1595007234327425e-05,1.5489227242452876e-05
accueillir,1.0797503617163712e-05,0.0
acculaient,1.0797503617163712e-05,0.0
accumulation,1.0797503617163712e-05,0.0
accumuler,2.1595007234327425e-05,1.5489227242452876e-05
accumulé,1.0797503617163712e-05,0.0
accumulés,2.1595007234327425e-05,0.0
accuse,2.1595007234327425e-05,1.5489227242452876e-05
accusé,1.0797503617163712e-05,1.5489227242452876e-05
accès,0.00010797503617163712,4.646768172735862e-05
accéléré,1.0797503617163712e-05,0.0
acharnaient,1.0797503617163712e-05,0.0
acharnait,2.1595007234327425e-05,4.646768172735862e-05
acharne,1.0797503617163712e-05,0.0
acharnement,2.1595007234327425e-05,3.097845448490575e-05
acharner,1.0797503617163712e-05,0.0
acharnes,1.0797503617163712e-05,0.0
acheté,4.319001446865485e-05,4.646768172735862e-05
achetés,1.0797503617163712e-05,0.0
acheva,5.398751808581856e-05,1.5489227242452876e-05
achevaient,1.0797503617163712e-05,0.0
achevait,2.1595007234327425e-05,0.0
achever,1.0797503617163712e-05,1.5489227242452876e-05
achevèrent,1.0797503617163712e-05,0.0
achevé,1.0797503617163712e-05,1.5489227242452876e-05
achevée,3.239251085149114e-05,0.0
achève,2.1595007234327425e-05,0.0
achèves,1.0797503617163712e-05,0.0
acolyte,1.0797503617163712e-05,0.0
acolytes,8.63800289373097e-05,1.5489227242452876e-05
aconit,1.0797503617163712e-05,0.0
acquirent,1.0797503617163712e-05,0.0
acquis,3.239251085149114e-05,0.0
acquises,1.0797503617163712e-05,0.0
acquit,1.0797503617163712e-05,0.0
acquitté,1.0797503617163712e-05,0.0
acte,8.63800289373097e-05,7.744613621226437e-05
actes,0.00010797503617163712,3.097845448490575e-05
acteur,1.0797503617163712e-05,0.0
acteurs,1.0797503617163712e-05,0.0
action,8.63800289373097e-05,3.097845448490575e-05
activa,1.0797503617163712e-05,0.0
activité,1.0797503617163712e-05,0.0
actuelle,4.319001446865485e-05,4.646768172735862e-05
actuellement,4.319001446865485e-05,4.646768172735862e-05
actuelles,1.0797503617163712e-05,1.5489227242452876e-05
actuels,1.0797503617163712e-05,0.0
adhérentes,1.0797503617163712e-05,0.0
adieu,3.239251085149114e-05,7.744613621226437e-05
adieux,1.0797503617163712e-05,0.0
adjacente,1.0797503617163712e-05,0.0
admets,2.1595007234327425e-05,4.646768172735862e-05
admettait,3.239251085149114e-05,1.5489227242452876e-05
admettant,1.0797503617163712e-05,1.5489227242452876e-05
admettez,1.0797503617163712e-05,0.0
admettons,3.239251085149114e-05,1.5489227242452876e-05
admettre,2.1595007234327425e-05,4.646768172735862e-05
admirable,3.239251085149114e-05,6.19569089698115e-05
admirables,2.1595007234327425e-05,3.097845448490575e-05
admiration,5.398751808581856e-05,6.19569089698115e-05
admire,1.0797503617163712e-05,1.5489227242452876e-05
admirer,2.1595007234327425e-05,0.0
admirât,1.0797503617163712e-05,0.0
admis,2.1595007234327425e-05,3.097845448490575e-05
admissible,2.1595007234327425e-05,0.0
admît,1.0797503617163712e-05,0.0
adorable,1.0797503617163712e-05,1.5489227242452876e-05
adoré,1.0797503617163712e-05,0.0
adorée,1.0797503617163712e-05,0.0
adossé,1.0797503617163712e-05,0.0
adoucissement,1.0797503617163712e-05,0.0
adressa,1.0797503617163712e-05,1.5489227242452876e-05
adressait,1.0797503617163712e-05,1.5489227242452876e-05
adressant,2.1595007234327425e-05,6.19569089698115e-05
adresse,4.319001446865485e-05,7.744613621226437e-05
adresser,1.0797503617163712e-05,1.5489227242452876e-05
adressiez,1.0797503617163712e-05,0.0
adroite,1.0797503617163712e-05,0.0
advenir,4.319001446865485e-05,0.0
advenu,2.1595007234327425e-05,0.0
adversaire,8.63800289373097e-05,0.00015489227242452874
adversaires,5.398751808581856e-05,9.293536345471724e-05
adverse,1.0797503617163712e-05,1.5489227242452876e-05
affaibli,2.1595007234327425e-05,0.0
affaiblie,1.0797503617163712e-05,0.0
affaire,0.00022674757596043794,0.00037174145381886896
affaires,1.0797503617163712e-05,0.000123913817939623
affaissa,2.1595007234327425e-05,0.0
affaisser,1.0797503617163712e-05,0.0
affectait,2.1595007234327425e-05,1.5489227242452876e-05
affectation,2.1595007234327425e-05,1.5489227242452876e-05
affection,2.1595007234327425e-05,1.5489227242452876e-05
affections,1.0797503617163712e-05,0.0
affectueux,3.239251085149114e-05,0.0
affiche,1.0797503617163712e-05,0.0
affirma,0.00012957004340596455,6.19569089698115e-05
affirmait,1.0797503617163712e-05,3.097845448490575e-05
affirmation,1.0797503617163712e-05,1.5489227242452876e-05
affirme,4.319001446865485e-05,6.19569089698115e-05
affirmer,3.239251085149114e-05,6.19569089698115e-05
affirmez,1.0797503617163712e-05,0.0
affluent,1.0797503617163712e-05,0.0
affola,1.0797503617163712e-05,0.0
affolait,1.0797503617163712e-05,0.0
affolée,1.0797503617163712e-05,1.5489227242452876e-05
affolés,1.0797503617163712e-05,0.0
affreuse,9.71775325544734e-05,0.0
affreuses,1.0797503617163712e-05,0.0
affreux,8.63800289373097e-05,3.097845448490575e-05
affront,1.0797503617163712e-05,0.0
affronter,2.1595007234327425e-05,0.0
affublé,2.1595007234327425e-05,0.0
afin,0.00010797503617163712,0.0
age,3.239251085149114e-05,0.0
agence,1.0797503617163712e-05,0.0
agencement,1.0797503617163712e-05,0.0
agencées,1.0797503617163712e-05,0.0
agenouilla,2.1595007234327425e-05,3.097845448490575e-05
agenouiller,1.0797503617163712e-05,0.0
agenouillé,2.1595007234327425e-05,0.0
agenouillée,1.0797503617163712e-05,0.0
agenouillés,1.0797503617163712e-05,0.0
agent,1.0797503617163712e-05,1.5489227242452876e-05
aggravait,1.0797503617163712e-05,0.0
agi,5.398751808581856e-05,0.0
agilité,1.0797503617163712e-05,0.0
agir,9.71775325544734e-05,9.293536345471724e-05
agis,1.0797503617163712e-05,0.0
agissait,3.239251085149114e-05,1.5489227242452876e-05
agissent,3.239251085149114e-05,1.5489227242452876e-05
agissons,1.0797503617163712e-05,1.5489227242452876e-05
agit,0.00020515256872611053,0.00021684918139434025
agita,1.0797503617163712e-05,3.097845448490575e-05
agitaient,2.1595007234327425e-05,0.0
agitait,1.0797503617163712e-05,1.5489227242452876e-05
agitant,1.0797503617163712e-05,4.646768172735862e-05
agitation,2.1595007234327425e-05,0.0
agite,2.1595007234327425e-05,0.0
agité,1.0797503617163712e-05,3.097845448490575e-05
agitée,2.1595007234327425e-05,1.5489227242452876e-05
agitées,2.1595007234327425e-05,1.5489227242452876e-05
agonie,6.478502170298228e-05,0.0
agonisait,1.0797503617163712e-05,1.5489227242452876e-05
agrandis,2.1595007234327425e-05,1.5489227242452876e-05
agrandit,1.0797503617163712e-05,0.0
agresseur,1.0797503617163712e-05,1.5489227242452876e-05
agresseurs,1.0797503617163712e-05,0.0
agressif,1.0797503617163712e-05,0.0
agression,2.1595007234327425e-05,4.646768172735862e-05
agrippa,1.0797503617163712e-05,3.097845448490575e-05
agrippaient,1.0797503617163712e-05,0.0
agrippées,1.0797503617163712e-05,0.0
agréable,2.1595007234327425e-05,0.0
agréer,1.0797503617163712e-05,0.0
aguets,2.1595007234327425e-05,0.0
ah,0.0013712829593797915,0.0006660367714254736
ahuri,1.0797503617163712e-05,3.097845448490575e-05
ahuris,2.1595007234327425e-05,0.0
ai,0.0024510333210961627,0.0024008302225801957
aidaient,1.0797503617163712e-05,1.5489227242452876e-05
aidant,3.239251085149114e-05,0.0
aide,0.00011877253978880082,4.646768172735862e-05
aider,3.239251085149114e-05,3.097845448490575e-05
aidera,1.0797503617163712e-05,1.5489227242452876e-05
aidez,2.1595007234327425e-05,0.0
aidée,1.0797503617163712e-05,0.0
aidés,1.0797503617163712e-05,0.0
aie,6.478502170298228e-05,4.646768172735862e-05
aient,4.319001446865485e-05,4.646768172735862e-05
aies,4.319001446865485e-05,4.646768172735862e-05
aiguilles,1.0797503617163712e-05,3.097845448490575e-05
aigus,1.0797503617163712e-05,0.0
aiguë,1.0797503617163712e-05,1.5489227242452876e-05
aiguës,1.0797503617163712e-05,0.0
aile,3.239251085149114e-05,3.097845448490575e-05
ailes,5.398751808581856e-05,1.5489227242452876e-05
aille,2.1595007234327425e-05,0.0
ailleurs,0.0005398751808581856,0.00044918759003113336
aimable,2.1595007234327425e-05,1.5489227242452876e-05
aimables,1.0797503617163712e-05,0.0
aimais,2.1595007234327425e-05,1.5489227242452876e-05
aimait,8.63800289373097e-05,6.19569089698115e-05
aimant,1.0797503617163712e-05,0.0
aimante,1.0797503617163712e-05,0.0
aime,0.00023754507957760165,0.00010842459069717012
aiment,1.0797503617163712e-05,0.0
aimerais,4.319001446865485e-05,0.0
aimes,2.1595007234327425e-05,0.0
aimiez,1.0797503617163712e-05,0.0
aimions,1.0797503617163712e-05,1.5489227242452876e-05
aimé,0.00010797503617163712,3.097845448490575e-05
aimée,1.0797503617163712e-05,1.5489227242452876e-05
aimés,1.0797503617163712e-05,1.5489227242452876e-05
ainsi,0.0010473578508648801,0.0009448428617896253
air,0.0003779126266007299,0.00044918759003113336
airain,1.0797503617163712e-05,0.0
aise,3.239251085149114e-05,3.097845448490575e-05
aisé,1.0797503617163712e-05,1.5489227242452876e-05
aisément,1.0797503617163712e-05,1.5489227242452876e-05
ait,0.00012957004340596455,0.00018587072690943448
ajouta,0.00015116505064029196,6.19569089698115e-05
ajoutait,1.0797503617163712e-05,0.0
ajoutant,1.0797503617163712e-05,0.0
ajouter,1.0797503617163712e-05,0.0
ajouterai,1.0797503617163712e-05,1.5489227242452876e-05
alamanie,1.0797503617163712e-05,0.0
alamanis,1.0797503617163712e-05,0.0
alarma,1.0797503617163712e-05,0.0
alcool,3.239251085149114e-05,0.0
alcoolique,1.0797503617163712e-05,0.0
alentour,1.0797503617163712e-05,0.0
alentours,1.0797503617163712e-05,1.5489227242452876e-05
alerte,4.319001446865485e-05,3.097845448490575e-05
alexis,8.63800289373097e-05,0.0
alignaient,1.0797503617163712e-05,0.0
aligne,1.0797503617163712e-05,0.0
alignements,1.0797503617163712e-05,0.0
alignés,3.239251085149114e-05,0.0
aliment,1.0797503617163712e-05,0.0
alla,1.0797503617163712e-05,0.00021684918139434025
allaient,3.239251085149114e-05,3.097845448490575e-05
