,Leblanc_1920=rp141,Leblanc_1909=rp037
allait,0.00041030513745222107,0.0004027199083037747
allant,2.1595007234327425e-05,0.0
allemand,3.239251085149114e-05,0.0
allemande,1.0797503617163712e-05,0.0
aller,0.00024834258319476535,0.00015489227242452874
allez,0.00010797503617163712,0.000123913817939623
alliez,2.1595007234327425e-05,1.5489227242452876e-05
allié,1.0797503617163712e-05,0.0
allonge,1.0797503617163712e-05,0.0
allongea,3.239251085149114e-05,1.5489227242452876e-05
allongeait,2.1595007234327425e-05,1.5489227242452876e-05
allongeant,1.0797503617163712e-05,0.0
allonger,1.0797503617163712e-05,1.5489227242452876e-05
allongé,1.0797503617163712e-05,0.0
allongée,1.0797503617163712e-05,0.0
allongés,1.0797503617163712e-05,0.0
allons,0.0003455201157492388,0.00046467681727358623
alluma,3.239251085149114e-05,4.646768172735862e-05
allumer,3.239251085149114e-05,0.0
allumerons,1.0797503617163712e-05,0.0
allumes,1.0797503617163712e-05,0.0
allumette,1.0797503617163712e-05,1.5489227242452876e-05
allumettes,4.319001446865485e-05,1.5489227242452876e-05
allumé,2.1595007234327425e-05,3.097845448490575e-05
allumés,1.0797503617163712e-05,0.0
allure,0.00012957004340596455,3.097845448490575e-05
allusion,3.239251085149114e-05,4.646768172735862e-05
allègre,1.0797503617163712e-05,3.097845448490575e-05
allèrent,1.0797503617163712e-05,1.5489227242452876e-05
allée,3.239251085149114e-05,3.097845448490575e-05
allées,2.1595007234327425e-05,3.097845448490575e-05
allégrement,1.0797503617163712e-05,0.0
allégresse,1.0797503617163712e-05,4.646768172735862e-05
allégées,1.0797503617163712e-05,0.0
alléluia,2.1595007234327425e-05,0.0
alléluias,1.0797503617163712e-05,0.0
alors,0.0015116505064029196,0.0012081597249113242
alouette,2.1595007234327425e-05,0.0
alsaciennes,1.0797503617163712e-05,0.0
alternatives,1.0797503617163712e-05,0.0
altérait,1.0797503617163712e-05,3.097845448490575e-05
altérée,3.239251085149114e-05,1.5489227242452876e-05
amaigri,1.0797503617163712e-05,0.0
amalgamé,1.0797503617163712e-05,0.0
amarre,2.1595007234327425e-05,0.0
amarré,1.0797503617163712e-05,0.0
amarrées,1.0797503617163712e-05,0.0
amas,2.1595007234327425e-05,0.0
amateur,3.239251085149114e-05,3.097845448490575e-05
ame,0.0001727600578746194,0.0
amenant,1.0797503617163712e-05,0.0
amené,3.239251085149114e-05,4.646768172735862e-05
amenée,1.0797503617163712e-05,0.0
amenés,2.1595007234327425e-05,1.5489227242452876e-05
amer,1.0797503617163712e-05,0.0
ameublement,1.0797503617163712e-05,0.0
ami,0.0003023301012805839,0.00037174145381886896
amie,6.478502170298228e-05,4.646768172735862e-05
amies,3.239251085149114e-05,0.0
amincissaient,1.0797503617163712e-05,0.0
amis,0.0001835575614917831,0.0002633168631216989
amitié,1.0797503617163712e-05,1.5489227242452876e-05
amitiés,1.0797503617163712e-05,1.5489227242452876e-05
amoncelaient,2.1595007234327425e-05,0.0
amorce,1.0797503617163712e-05,0.0
amorcé,1.0797503617163712e-05,0.0
amorça,1.0797503617163712e-05,0.0
amorçait,1.0797503617163712e-05,0.0
amour,0.00021595007234327424,0.00021684918139434025
amoureuse,1.0797503617163712e-05,1.5489227242452876e-05
ample,1.0797503617163712e-05,0.0
amplement,1.0797503617163712e-05,1.5489227242452876e-05
amusait,1.0797503617163712e-05,0.0
amusant,1.0797503617163712e-05,1.5489227242452876e-05
amusante,1.0797503617163712e-05,1.5489227242452876e-05
amuse,2.1595007234327425e-05,3.097845448490575e-05
amuser,4.319001446865485e-05,1.5489227242452876e-05
amusé,1.0797503617163712e-05,0.0
amène,2.1595007234327425e-05,1.5489227242452876e-05
amènes,1.0797503617163712e-05,0.0
amélioration,1.0797503617163712e-05,0.0
aménagée,1.0797503617163712e-05,0.0
aménagées,1.0797503617163712e-05,0.0
an,7.558252532014598e-05,0.000123913817939623
analogue,2.1595007234327425e-05,0.0
ancien,5.398751808581856e-05,0.00013940304518207587
ancienne,4.319001446865485e-05,9.293536345471724e-05
anciennes,2.1595007234327425e-05,3.097845448490575e-05
anciens,1.0797503617163712e-05,3.097845448490575e-05
ancolies,1.0797503617163712e-05,0.0
ancêtres,5.398751808581856e-05,1.5489227242452876e-05
anecdotes,1.0797503617163712e-05,1.5489227242452876e-05
anfractuosité,3.239251085149114e-05,1.5489227242452876e-05
ange,1.0797503617163712e-05,0.0
angle,3.239251085149114e-05,6.19569089698115e-05
angoisse,0.00014036754702312826,0.00013940304518207587
angoisses,2.1595007234327425e-05,0.0
angélus,1.0797503617163712e-05,0.0
animait,1.0797503617163712e-05,1.5489227242452876e-05
animal,4.319001446865485e-05,0.0
animation,1.0797503617163712e-05,0.0
animaux,1.0797503617163712e-05,0.0
animent,1.0797503617163712e-05,0.0
animée,2.1595007234327425e-05,0.0
animées,1.0797503617163712e-05,0.0
annales,1.0797503617163712e-05,0.0
anneau,1.0797503617163712e-05,0.0
anneaux,1.0797503617163712e-05,0.0
annonce,6.478502170298228e-05,1.5489227242452876e-05
annoncer,1.0797503617163712e-05,0.0
annoncé,6.478502170298228e-05,4.646768172735862e-05
annoncés,2.1595007234327425e-05,0.0
annonça,2.1595007234327425e-05,6.19569089698115e-05
annonçaient,1.0797503617163712e-05,4.646768172735862e-05
annonçait,5.398751808581856e-05,6.19569089698115e-05
année,0.00012957004340596455,3.097845448490575e-05
années,0.00015116505064029196,0.00010842459069717012
anomalie,2.1595007234327425e-05,0.0
anormal,3.239251085149114e-05,0.0
anormales,3.239251085149114e-05,0.0
ans,0.0002591400868119291,0.0003407629993339632
antan,1.0797503617163712e-05,0.0
antique,1.0797503617163712e-05,4.646768172735862e-05
antiques,2.1595007234327425e-05,0.0
antoine,0.00010797503617163712,0.0
anxieuse,1.0797503617163712e-05,0.0
anxieusement,1.0797503617163712e-05,0.0
anxiété,3.239251085149114e-05,3.097845448490575e-05
anéanti,1.0797503617163712e-05,0.0
anéantis,1.0797503617163712e-05,0.0
anéantissait,1.0797503617163712e-05,0.0
anéantissement,1.0797503617163712e-05,0.0
anévrisme,1.0797503617163712e-05,0.0
apaisa,1.0797503617163712e-05,0.0
apaisement,2.1595007234327425e-05,0.0
apaisent,1.0797503617163712e-05,0.0
apercevait,9.71775325544734e-05,0.0001703814996669816
apercevant,2.1595007234327425e-05,0.0
apercevoir,9.71775325544734e-05,3.097845448490575e-05
apercevrait,1.0797503617163712e-05,0.0
aperçois,2.1595007234327425e-05,1.5489227242452876e-05
aperçoit,4.319001446865485e-05,3.097845448490575e-05
aperçoive,2.1595007234327425e-05,0.0
aperçu,4.319001446865485e-05,9.293536345471724e-05
aperçurent,2.1595007234327425e-05,1.5489227242452876e-05
aperçut,0.00015116505064029196,0.00021684918139434025
apitoyer,1.0797503617163712e-05,0.0
aplanir,1.0797503617163712e-05,0.0
aplaniraient,1.0797503617163712e-05,0.0
aplatit,1.0797503617163712e-05,1.5489227242452876e-05
aplomb,6.478502170298228e-05,3.097845448490575e-05
apogée,1.0797503617163712e-05,0.0
apostrophant,1.0797503617163712e-05,3.097845448490575e-05
apostrophe,1.0797503617163712e-05,0.0
apparaissaient,1.0797503617163712e-05,4.646768172735862e-05
apparaissais,1.0797503617163712e-05,0.0
apparaissait,8.63800289373097e-05,7.744613621226437e-05
apparaît,1.0797503617163712e-05,0.0
apparaîtrait,1.0797503617163712e-05,0.0
apparaître,5.398751808581856e-05,0.0
apparence,0.00010797503617163712,7.744613621226437e-05
apparent,1.0797503617163712e-05,0.0
apparente,1.0797503617163712e-05,1.5489227242452876e-05
apparition,2.1595007234327425e-05,0.0
appartenaient,2.1595007234327425e-05,0.0
appartenait,1.0797503617163712e-05,1.5489227242452876e-05
appartenir,2.1595007234327425e-05,0.0
appartenu,1.0797503617163712e-05,0.0
appartiendra,2.1595007234327425e-05,0.0
appartient,5.398751808581856e-05,3.097845448490575e-05
apparu,1.0797503617163712e-05,3.097845448490575e-05
apparurent,1.0797503617163712e-05,0.0
apparut,4.319001446865485e-05,9.293536345471724e-05
appel,9.71775325544734e-05,7.744613621226437e-05
appela,6.478502170298228e-05,6.19569089698115e-05
appelaient,1.0797503617163712e-05,4.646768172735862e-05
appelais,1.0797503617163712e-05,0.0
appelait,0.0001727600578746194,7.744613621226437e-05
appelant,1.0797503617163712e-05,3.097845448490575e-05
appeler,6.478502170298228e-05,6.19569089698115e-05
appelez,3.239251085149114e-05,0.0
appeliez,1.0797503617163712e-05,0.0
appelions,1.0797503617163712e-05,0.0
appelle,0.00023754507957760165,6.19569089698115e-05
appellera,1.0797503617163712e-05,0.0
appellerais,1.0797503617163712e-05,0.0
appellerons,1.0797503617163712e-05,0.0
appelles,1.0797503617163712e-05,3.097845448490575e-05
appels,2.1595007234327425e-05,0.0
appelât,1.0797503617163712e-05,0.0
appelé,1.0797503617163712e-05,4.646768172735862e-05
appelée,2.1595007234327425e-05,0.0
appelées,1.0797503617163712e-05,0.0
applaudirait,1.0797503617163712e-05,0.0
applaudissaient,1.0797503617163712e-05,0.0
applaudissant,1.0797503617163712e-05,0.0
appliquant,2.1595007234327425e-05,0.0
appliqué,1.0797503617163712e-05,0.0
apportai,1.0797503617163712e-05,0.0
apporte,7.558252532014598e-05,6.19569089698115e-05
apporter,4.319001446865485e-05,1.5489227242452876e-05
apporteraient,1.0797503617163712e-05,0.0
apporté,2.1595007234327425e-05,0.0
apportée,3.239251085149114e-05,0.0
apportées,1.0797503617163712e-05,0.0
apportés,2.1595007234327425e-05,0.0
apposer,1.0797503617163712e-05,0.0
apprenait,1.0797503617163712e-05,1.5489227242452876e-05
apprenant,1.0797503617163712e-05,0.0
apprend,1.0797503617163712e-05,0.0
apprendra,1.0797503617163712e-05,0.0
apprendre,1.0797503617163712e-05,1.5489227242452876e-05
apprends,2.1595007234327425e-05,1.5489227242452876e-05
apprenne,1.0797503617163712e-05,0.0
appris,4.319001446865485e-05,7.744613621226437e-05
apprise,3.239251085149114e-05,0.0
apprit,1.0797503617163712e-05,0.00010842459069717012
approcha,7.558252532014598e-05,9.293536345471724e-05
approchaient,2.1595007234327425e-05,6.19569089698115e-05
approchait,4.319001446865485e-05,3.097845448490575e-05
approchant,2.1595007234327425e-05,3.097845448490575e-05
approche,0.00012957004340596455,6.19569089698115e-05
approchent,1.0797503617163712e-05,0.0
approcher,1.0797503617163712e-05,3.097845448490575e-05
approcherait,1.0797503617163712e-05,0.0
approches,2.1595007234327425e-05,0.0
approchez,2.1595007234327425e-05,1.5489227242452876e-05
approchons,1.0797503617163712e-05,0.0
approchèrent,1.0797503617163712e-05,0.0
approché,3.239251085149114e-05,0.0
approchée,1.0797503617163712e-05,1.5489227242452876e-05
approchés,1.0797503617163712e-05,0.0
approuva,5.398751808581856e-05,6.19569089698115e-05
approuvait,1.0797503617163712e-05,0.0
approuve,2.1595007234327425e-05,0.0
approuvez,3.239251085149114e-05,0.0
appréciable,1.0797503617163712e-05,0.0
apprécie,1.0797503617163712e-05,0.0
appréhension,1.0797503617163712e-05,0.0
appréhensions,3.239251085149114e-05,1.5489227242452876e-05
