idno,author,title,date,decade,subgenre,label
rf0114,,Horloger,1954,1950s,blanche,
rf0118,,MortAuguste,1966,1960s,blanche,
rf0137,,MysteresPeuple09,1853,1850s,blanche,
rf0089,,ChasseMeteoreV1,1901,1900s,blanche,
rf0163,,AlbertineR6,1925,1920s,blanche,
rf,,MadameChrysantheme,1887,1880s,blanche,
rf0124,,NousTrois,1992,1990s,blanche,
rf0001,,Dimanche,1958,1950s,blanche,
rf0097,,CapitaineBurle,1883,1880s,blanche,
rf0150,,MaitreMonde,1904,1900s,blanche,
rf,,HistoirePaysan1,1869,1860s,blanche,
rf0006,,Duo,1934,1930s,blanche,
rf0196,,Marienbad,1961,1960s,blanche,screenplay
rf0192,,RouteFlandres,1960,1960s,blanche,
rf0156,,GuermantesR3a,1920,1920s,blanche,
rf0034,,HistoirePaysan3,1869,1860s,blanche,
rf0054,,MontOriol,1887,1880s,blanche,
rf0081,,ArchipelFeu,1884,1880s,blanche,
rf0020,,PetitChose,1867,1860s,blanche,
rf0175,,SecretStoritz,1898,1890s,blanche,
rf0059,,Nana,1885,1880s,blanche,
rf,,ChefChantier,1876,1870s,blanche,
rf0083,,AventureTroisRusses,1872,1870s,blanche,
rf0168,,HectorServadac,1877,1870s,blanche,
rf0107,,BandeRouge2,1886,1880s,blanche,
rf0058,,Germinal,1885,1880s,blanche,
rf0190,,Herbe,1958,1950s,blanche,
rf0101,,PotBouille,1882,1880s,blanche,
rf0086,,CapitaineHatteras,1866,1860s,blanche,
rf0001,,Cotillons1,1861,1860s,blanche,
rf0115,,Negre,1957,1950s,blanche,
rf0095,,FortuneRougon,1870,1870s,blanche,
rf0005,,ClaudineSenVa,1903,1900s,blanche,
rf0072,,JeanChristophe02,1904,1900s,blanche,
rf0070,,Thibault8,1940,1940s,blanche,
rf0125,,Quatorze,2012,2010s,blanche,
rf,,Nabab,1877,1870s,blanche,
rf0182,,Molloy,1951,1950s,blanche,
rf0193,,,1981,1980s,blanche,
rf0002,,ClaudineEcole,1900,1900s,blanche,
rf0200,,EtMonTout,1965,1960s,blanche,science-fiction
rf0068,,Thibault7a,1936,1930s,blanche,
rf0181,,MercierCamier,1970,1970s,blanche,
rf0098,,JoieVivre,1884,1880s,blanche,
rf,,RomanEnfant,1890,1890s,blanche,
rf0012,,RetraiteSentimentale,1907,1900s,blanche,
rf0162,,PrisonniereR5b,1923,1920s,blanche,
rf0129,,MysteresParis04,1843,1840s,blanche,
rf0040,,MadameBovary,1857,1850s,blanche,
rf0015,,VrillesVigne,1908,1900s,blanche,
rf0053,,FortMort,1889,1880s,blanche,
rf0121,,JeMenVais,1999,1990s,blanche,
rf0065,,Thibault4,1928,1920s,blanche,
rf0074,,JeanChristophe04,1905,1900s,blanche,
rf,,VingtMilleLieues,1871,1870s,blanche,
rf,,HistoireConscrit,1864,1860s,blanche,
rf0131,,MysteresPeuple02,1849,1840s,blanche,histoire
rf,,Aziyade,1879,1870s,blanche,
rf0010,,MaisonClaudine,1922,1920s,blanche,
rf0090,,ChasseMeteoreV2,1908,1900s,blanche,
rf0075,,JeanChristophe05,1908,1900s,blanche,
rf0013,,Seconde,1929,1920s,blanche,
rf,,PortTarascon,1890,1890s,blanche,
rf0084,,BilletLoterie,1886,1880s,blanche,
rf0052,,BelAmi,1885,1880s,blanche,
rf0155,,JeunesFillesR2c,1913,1910s,blanche,
rf0056,,UneVie,1883,1880s,blanche,
rf0092,,Curee,1872,1870s,blanche,
rf0007,,FinDeCheri,1926,1920s,blanche,
rf0096,,EugeneRougon,1876,1870s,blanche,
rf,,HistoirePaysan2,1869,1860s,blanche,
rf0180,,Malone,1951,1950s,blanche,
rf0157,,GuermantesR3b,1920,1920s,blanche,
rf0104,,AbbeMouret,1875,1870s,blanche,
rf0136,,MysteresPeuple08,1853,1850s,blanche,
rf0133,,MysteresPeuple04,1850,1850s,blanche,
rf0140,,MysteresPeuple12,1855,1850s,blanche,
rf0057,,BeteHumaine,1890,1890s,blanche,
rf0189,,Bataille,1969,1960s,blanche,
rf,,Invasion,1862,1860s,blanche,
rf0122,,Equipee,1986,1980s,blanche,
rf0082,,AutourLune,1869,1860s,blanche,
rf0176,,TestamentExcentrique,1899,1890s,blanche,
rf0011,,NaissanceJour,1928,1920s,blanche,
rf,,MonFrereYves,1883,1880s,blanche,
rf0191,,Tramway,2001,2000s,blanche,
rf0085,,BoursesVoyage,1903,1900s,blanche,
rf0067,,Thibault6,1929,1920s,blanche,
rf0135,,MysteresPeuple07,1851,1850s,blanche,
rf0001,,BandeRouge1,1886,1880s,blanche,
rf,,Ramuntcho,1897,1890s,blanche,
rf0088,,Chancellor,1875,1870s,blanche,journal
rf0186,,Georgiques,1981,1980s,blanche,
rf,,Jack,1875,1870s,blanche,
rf0119,,Piano,2002,2000s,blanche,
rf0188,,Acacia,1989,1980s,blanche,
rf0042,,Sallambo,1862,1860s,blanche,
rf0143,,JardinSupplices,1899,1890s,blanche,
rf0110,,Cotillons2,1861,1860s,blanche,
rf,,Waterloo,1865,1860s,blanche,
rf0077,,JeanChristophe07,1908,1900s,blanche,
rf0113,,FuiteMonde,1945,1940s,blanche,
rf,,HistoireHommePeuple,1865,1860s,blanche,
rf0195,,Jalousie,1957,1950s,blanche,
