idno,author,title,date,decade,subgenre,label
rf0061,,VentreParis,1873,1870s,blanche,
rf0143,,MysteresPeuple16,1857,1850s,blanche,
rf0167,,FamilleSansNom,1889,1880s,blanche,
rf0184,,Histoire,1967,1960s,blanche,
rf0055,,PierreJean,1888,1880s,blanche,
rf0117,,Betty,1961,1960s,blanche,
rf0100,,Assommoir,1877,1870s,blanche,
rf0187,,Palace,1962,1960s,blanche,
rf0142,,MysteresPeuple15,1857,1850s,blanche,
rf0171,,KerabanTetu,1883,1880s,blanche,
rf0069,,Thibault7b,1936,1930s,blanche,
rf0138,,MysteresPeuple10,1854,1850s,blanche,
rf0165,,TempsRetrouveR7b,1927,1920s,blanche,
rf0003,,ClaudineMenage,1902,1900s,blanche,
rf,,AmiFritz,1864,1860s,blanche,
rf0147,,SebastienRoch,1890,1890s,blanche,
rf0170,,InvasionMer,1905,1900s,blanche,
rf0008,,IngenueLibertine,1909,1900s,blanche,
rf0149,,DeuxAnsVacances,1888,1880s,blanche,
rf0064,,Thibault3,1923,1920s,blanche,
rf0154,,JeunesFillesR2b,1913,1910s,blanche,
rf0148,,AbbeJules,1888,1880s,blanche,
rf0060,,Oeuvre,1886,1880s,blanche,
rf0151,,CombrayR1a,1913,1910s,blanche,
rf0105,,Terre,1887,1880s,blanche,
rf0099,,PageAmour,1878,1870s,blanche,
rf0091,,ChateauCarpathes,1892,1890s,blanche,
rf0158,,GuermantesR3c,1920,1920s,blanche,
rf0102,,Argent,1891,1890s,blanche,
rf0071,,JeanChristophe01,1904,1900s,blanche,
rf,,Tartarin2,1885,1880s,blanche,
rf0146,,Calvaire,1887,1880s,blanche,
rf0009,,JulieDeCarneilhan,1941,1940s,blanche,
rf0173,,NaufragesJonathan,1909,1900s,blanche,
rf0160,,SodomeR4c,1921,1920s,blanche,
rf0035,,HistoirePaysan4,1869,1860s,blanche,
rf0093,,DocteurPascal,1893,1890s,blanche,
rf0172,,MathiasSandorf,1885,1880s,blanche,
rf0179,,Innommable,1953,1950s,blanche,
rf0111,,Coma,1959,1950s,blanche,
rf0004,,ClaudineParis,1901,1900s,blanche,
rf0078,,JeanChristophe08,1910,1910s,blanche,
rf0001,,BleHerbe,1923,1920s,blanche,
rf0073,,JeanChristophe03,1904,1900s,blanche,
rf0153,,JeunesFillesR2a,1913,1910s,blanche,
rf0123,,Blondes,1995,1990s,blanche,
rf0041,,Education,1869,1860s,blanche,
rf0199,,Voyeur,1953,1950s,blanche,
rf0132,,MysteresPeuple03,1850,1850s,blanche,
rf0108,,MainFroide,1889,1880s,blanche,
rf0127,,MysteresParis01,1842,1840s,blanche,
rf0174,,PaysFourrures,1873,1870s,blanche,
rf0128,,MysteresParis02,1842,1840s,blanche,
rf,,CampagneKabylie,1873,1870s,blanche,
rf,,Sapho,1884,1880s,blanche,
rf0139,,MysteresPeuple11,1854,1850s,blanche,
rf,,Tartarin1,1872,1870s,blanche,
rf0037,,MadameTherese,1863,1860s,blanche,
rf,,MariageLoti,1882,1880s,blanche,
rf0080,,JeanChristophe10,1912,1910s,blanche,
rf0112,,CoupLune,1933,1930s,blanche,
rf,,NumaRoumestan,1881,1880s,blanche,
rf,,Figures,1898,1890s,blanche,
rf0130,,MysteresParis05,1843,1840s,blanche,
rf,,DeuxFreresRantzau,1873,1870s,blanche,
rf0014,,Toutounier,1939,1930s,blanche,
rf0159,,SodomeR4a,1921,1920s,blanche,
rf0197,,Reprise,2001,2000s,blanche,
rf,,BlocusRochart,1867,1860s,blanche,
rf,,PrimeJeunesse,1919,1910s,blanche,
rf0166,,Vie,1978,1970s,blanche,
rf0141,,MysteresPeuple13,1856,1850s,blanche,
rf0185,,Tryptique,1973,1970s,blanche,
rf0152,,AmourSwannR1b,1913,1910s,blanche,
rf0087,,CapitaineQuinzeAns,1878,1870s,blanche,
rf0134,,MysteresPeuple06,1851,1850s,blanche,
rf0063,,Thibault2,1922,1920s,blanche,
rf,,Evangeliste,1892,1890s,blanche,
rf0120,,Courir,2008,2000s,blanche,
rf,,RomanSpahi,1881,1880s,blanche,
rf0161,,PrisonniereR5a,1923,1920s,blanche,
rf0164,,TempsRetrouveR7a,1927,1920s,blanche,
rf0062,,Thibault1,1922,1920s,blanche,
rf0039,,BouvardPecuchet,1881,1880s,blanche,
rf0103,,Reve,1888,1880s,blanche,
rf0201,,ColasBreugnon,1919,1910s,blanche,récit bourgignon
rf0145,,JournalFemmeChambre,1900,1900s,blanche,journal
rf0198,,Souvenirs,1978,1970s,blanche,
rf0183,,Murphy,1947,1940s,blanche,
rf0177,,TribulationsChinois,1879,1870s,blanche,
rf0169,,IleMysterieuse,1875,1870s,blanche,
rf0076,,JeanChristophe06,1908,1900s,blanche,
rf0094,,Debacle,1892,1890s,blanche,
rf0079,,JeanChristophe09,1911,1910s,blanche,
rf0066,,Thibault5,1928,1920s,blanche,
rf0118,,UnAn,1975,1970s,blanche,
