	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29	tp30	tp31	tp32	tp33	tp34	tp35	tp36	tp37	tp38	tp39	tp40	tp41	tp42	tp43	tp44	tp45	tp46	tp47	tp48	tp49	tp50	tp51	tp52	tp53	tp54	tp55	tp56	tp57	tp58	tp59	tp60	tp61	tp62	tp63	tp64	tp65	tp66	tp67	tp68	tp69	tp70	tp71	tp72	tp73	tp74	tp75	tp76	tp77	tp78	tp79
1640s	0.010459392141965545	0.018364371359649037	0.013023471764193524	0.014002897062213396	0.004456279675001609	0.019736559044218793	0.014986527837002467	0.009425463600054017	0.00641008265083783	0.010534422399233027	0.00848826968823327	0.02574818636010569	0.013908677243658489	0.016675012542727363	0.00874205760859255	0.010414371939275111	0.003009556799980569	0.01658034265493697	0.010843693731804202	0.012866532737947118	0.015971387639045088	0.01487268328336313	0.011342165285847996	0.016199787890873802	0.007958282534884455	0.009609887425342568	0.014336671473598003	0.009233091581896858	0.011423591767161187	0.01166411213129508	0.012078393478922185	0.00663032227204205	0.015356413613266034	0.015908926072600714	0.012063710229225358	0.010846988309165282	0.011332870814576906	0.012222248217056406	0.00454102547989284	0.012005640611289774	0.012120383821043978	0.01190958196802662	0.01342853375693327	0.022106704125949207	0.015822684657836303	0.011062767025878507	0.012682379599656011	0.010850512634924684	0.010735167864896434	0.003562795109001726	0.017268620666016265	0.01582868731712196	0.01469306583474217	0.011814461673970201	0.007196895731801925	0.01311652924360982	0.008720907931671372	0.014366698495205985	0.011803486206281785	0.014932190504349338	0.014405531026471852	0.010518199891340736	0.014602485842825693	0.014143484863810995	0.014203213304905557	0.011050784582322414	0.021170024462824996	0.009891647779732466	0.011988545412007149	0.012736944442044656	0.009524035099286118	0.014940153745999095	0.013028055713589072	0.007372840199748197	0.01647957647887439	0.007829006600893007	0.01847424296704783	0.012032137222932832	0.012718377536081252	0.014593289705367872
1650s	0.008260937179677533	0.01177600378016039	0.015086218501968821	0.013074594030654273	0.003898074029106205	0.015208846031383921	0.015196730699822329	0.008034045374134094	0.008857465328277752	0.010117342619770887	0.005996035931923228	0.01736048472299211	0.022426837204129052	0.01368631279948705	0.007934941627274995	0.016701791940564918	0.004242528585029766	0.024772187389521232	0.016394036145290464	0.012484470970590777	0.020415200652165177	0.012951267347700307	0.011454470855804267	0.014047404614236125	0.008251774676735484	0.011580090626875116	0.01845025509041425	0.011290512689284573	0.011684694492497632	0.019594137252400168	0.014620953111465778	0.00918394914817691	0.017877784512391404	0.021428954195371365	0.015110256211429633	0.007978571822494068	0.00927322250050443	0.0108930519291052	0.009083274706426588	0.012939747889019556	0.01102808060202946	0.009203676141233142	0.013769603896711377	0.011206846270137006	0.012192826902900744	0.014566722535050359	0.00995460173006491	0.013562825869705995	0.019132756543790066	0.009405340028655538	0.014375304663951637	0.01078261609480187	0.018124597467865374	0.009687780278817863	0.003287760125394865	0.011822662843249713	0.010057693417083067	0.007214633216968094	0.008828994299505068	0.018379409267392316	0.01048727082139165	0.010856594750041065	0.014933179450719059	0.016016199492994425	0.012301727153335556	0.010435500080159388	0.02295854733902777	0.011331472325281512	0.013662429204732568	0.006946926979374317	0.007614351596631694	0.02045276903964671	0.011675791688599819	0.008138391083623105	0.014173654078130407	0.00822344703208538	0.007481054871210316	0.01269446385813217	0.010475613703145722	0.012936424040171179
1660s	0.008680501520084516	0.007159246311583364	0.014825219331440691	0.008755790766232226	0.009058111292973788	0.0157123605896047	0.014536907773951255	0.009339270410785914	0.002616574164610973	0.009317773948200398	0.008632033392607286	0.015296516779430374	0.015645555292678994	0.010976946746779922	0.007894532521923982	0.01664538583476199	0.006675637758319236	0.020171122270063405	0.012328075315983525	0.011233283676795273	0.016600977982580232	0.014523609771567664	0.011627880074199317	0.014337905627561667	0.012399720819379092	0.009540891468710594	0.014685679504481231	0.019334316100247117	0.014581580884854516	0.025221402106975564	0.012933723404576061	0.004723830759416575	0.018374292168813398	0.021094056704765617	0.018174775959854766	0.008953861517223206	0.00810867478247816	0.013885798766986274	0.009699061745443962	0.010164910830760633	0.009559956046254196	0.008877822554221811	0.019364793835157438	0.010675761583702356	0.01301530502954219	0.024503549767702727	0.008969773926930437	0.01938713786047464	0.01617538055936101	0.0030981196670986574	0.01815187064871351	0.014677219437442898	0.01653848829299565	0.011909719819883027	0.008163411600574747	0.011292833591754238	0.009248492864622721	0.004773165052994163	0.009086957609286418	0.015469749236376363	0.014128868901142611	0.010051941873678583	0.01500948668982692	0.011534181035254441	0.014916336197312103	0.008072796665433583	0.024235307115220654	0.004614416893752667	0.0125794687579827	0.005994332450125826	0.010959267787967231	0.014087235011338867	0.009187341523367951	0.007298971939272839	0.02200582770224822	0.009797030291994182	0.0029016889757343058	0.010883565441856199	0.016039902158127974	0.01829472692358557
