	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29
1640s	0.011414720263593687	0.02496522302456692	0.005135759577170447	0.04022353184013119	0.015535938048823014	0.0019443341396565247	0.023595039590841752	0.07079310195616084	0.007843540307866022	0.0017593276667717014	0.021544637087417603	0.05952461875529687	0.06227600743770058	0.0856052005171972	0.021495903990991768	0.010100852364435572	0.02199971316741565	0.03662558272545861	0.09176706004069973	0.009503486862085932	0.007235473492215746	0.016024335795245835	0.10262835516774574	0.03921763168221878	0.09167459320411657	0.0036343096755030945	0.05510779947736052	0.01572377324292261	0.018928190039212818	0.026171958859176794
1650s	0.014202874750391774	0.028614451795692917	0.006895017589739782	0.02676468717957728	0.010216331133499552	0.008123568673229435	0.01339386557023061	0.07426918221561572	0.008998499022464225	0.008247164203968496	0.024634358565645685	0.03530144887578819	0.04266849804551035	0.060762047199925937	0.015102592842813383	0.008170060144515476	0.018356907089277914	0.04113451209436756	0.09378635857680573	0.01565990676209271	0.006201992973960474	0.009608582680455967	0.17682870046149363	0.023400817379684337	0.1307440134470763	0.011661200317891128	0.0417517841725016	0.008122616696435004	0.021041671311800247	0.015336288227548445
1660s	0.008132077248637274	0.01867519660027662	0.01209036601658889	0.007495548065578451	0.006901139523617701	0.0005082468029805251	0.02451604436705702	0.09379294042244449	0.010509370329113246	0.0011462632762381292	0.044728922588569316	0.04824068983139261	0.03411692625327956	0.0685069612438918	0.007096504982773067	0.01079651666655707	0.016774913805265506	0.07007571307390542	0.10022394569008888	0.00680374915484971	0.003418335519908129	0.02565832427226489	0.1584018773512418	0.01767047598863761	0.07757515279941357	0.0022250016493333305	0.07890708322633887	0.009042519637934308	0.01746963141407123	0.018499562197750726
