	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29	tp30	tp31	tp32	tp33	tp34	tp35	tp36	tp37	tp38	tp39	tp40	tp41	tp42	tp43	tp44	tp45	tp46	tp47	tp48	tp49	tp50	tp51	tp52	tp53	tp54	tp55	tp56	tp57	tp58	tp59	tp60	tp61	tp62	tp63	tp64	tp65	tp66	tp67	tp68	tp69	tp70	tp71	tp72	tp73	tp74	tp75	tp76	tp77	tp78	tp79
divers	0.009642147154799979	0.008992393544284055	0.012519100095269395	0.01387661364205882	0.007833013880713972	0.020988061423283223	0.015167272856410494	0.007933052455231153	0.002956805461770236	0.0104295351141016	0.005751728926639489	0.023194965358989673	0.011480639603476537	0.015050252779041024	0.00871095876282546	0.013077606308564653	0.0034658749123417858	0.02050739879745672	0.009401650104072562	0.010146982754878145	0.016942988323676796	0.025833088798374457	0.008322859840909552	0.0144010934166138	0.015191269415739932	0.009791743478848482	0.016386728988952035	0.014795546110919648	0.016168755753153474	0.014959900357935065	0.011057414572999955	0.0017529229362675785	0.01800224814761827	0.015478964300867223	0.011000232815746733	0.008114556643025572	0.012158166416981652	0.014392107435224035	0.003919909241128498	0.012964403586811004	0.009317160123186641	0.00850219250851025	0.015798884763054834	0.02472032055845375	0.01577748882155688	0.019211124638014807	0.014476357782434812	0.011875467004759893	0.011668977903390942	0.003091260109262503	0.016625881323024123	0.02380341378605181	0.011778914398150065	0.011987477920831059	0.006098837847860295	0.013313104215978077	0.008505804211761156	0.020612272709856022	0.008892702519952132	0.0193035443905624	0.014700869276008924	0.011307820834977991	0.01733462003209137	0.011762115395061945	0.013816038115851977	0.006622869967117236	0.022097616779585844	0.0032399624036447343	0.014257308542521252	0.008346201834890534	0.0066520964337733746	0.013236939961357623	0.010362936256944063	0.005957631041336232	0.018881972328588004	0.009008359124872462	0.002644104120135959	0.003214977685133001	0.018797427720826935	0.0196359900906255
espagne	0.0084705736272735	0.015818438143536416	0.015362078766695389	0.017329042762580214	0.003410528637794073	0.013014493648835007	0.01960098284115566	0.014073604493902395	0.006243279208152106	0.010184943521603426	0.009224306793498198	0.014276378813763051	0.027014467897869154	0.014850207521836536	0.008135576060958825	0.01211195029343208	0.0027792462725818004	0.019569691014955825	0.014493009169901311	0.013187353786198537	0.016472041832478215	0.007790347731856989	0.013266102930982324	0.01340911185262066	0.0051974064655194155	0.014139478137109635	0.018042880550050367	0.009143067051360605	0.010731736102019131	0.016131895178857557	0.018687934692783487	0.014219182552044313	0.013796909363242706	0.018613160051300273	0.012149145847594342	0.005468829139910461	0.00873674243392075	0.01252345730895527	0.0029996374368900388	0.01321797084908118	0.013183711496269616	0.01045105990278749	0.010253517173025561	0.00885698974282152	0.011450432227739726	0.012859228114801724	0.006930577329554525	0.011382213747431445	0.01918371205946928	0.003926945921856086	0.014974015465347197	0.007787173019668202	0.019010541888272163	0.007687303415622984	0.0034607046749408213	0.010418931929558603	0.013056753814040613	0.004190503001548464	0.008447968060634118	0.012082349329953352	0.01048850360609146	0.009772343500258218	0.015142280210274762	0.021687524483688464	0.012942717440512985	0.015058108538458057	0.024150922539113013	0.01944923458368713	0.01169611526419688	0.012703347658166036	0.011802095676075817	0.022513145416050123	0.015115877931410563	0.0037559726536924016	0.011267692407738034	0.008279601329943964	0.01019989197658211	0.03044421509280183	0.009598582358208393	0.010450004232605156
europe	0.007144627233897555	0.01137598923233073	0.016553562056000976	0.010304124459718907	0.0032956048046734123	0.011144605989111218	0.013172668689939568	0.006228793448901645	0.007110071419684384	0.014296070818386436	0.0028017572835004035	0.019013808260063016	0.027875042796604035	0.01493299724350125	0.005799619012966347	0.018277065868295667	0.008602286773918279	0.030068038991039506	0.025745884758020407	0.010953179903895223	0.01893348719982579	0.006643430626178195	0.014015046619793838	0.01593394685586045	0.008308838835384282	0.010274328573557485	0.018398746897123505	0.011964526123978365	0.011109291494972383	0.025603584879709557	0.008707143423205638	0.01634378090738493	0.022548732277169744	0.02105786417620996	0.01844807099782823	0.007118580946172324	0.007835262985943737	0.010748251186811027	0.002544274577908059	0.017166082391010404	0.010758755284175432	0.00577163168061157	0.011953147094217562	0.010737548366458717	0.0124202495977156	0.017344021426910917	0.006942697787602637	0.01060489572050207	0.016735424787126606	0.031673262409178594	0.015905956958378938	0.008570408889121146	0.021313322488542803	0.008956644462576095	0.0034208568256294774	0.014200891344052205	0.007333417726746127	0.0035682838126995914	0.011655087681305134	0.010528334146147386	0.008400591116966232	0.008778600752504546	0.01563821668588748	0.01554117209112039	0.011745678646429565	0.010256610777444322	0.02184649435785493	0.007887981963854583	0.012479167116694015	0.006950903436023246	0.007851611152921047	0.017441450707464643	0.011179236594776362	0.013368909684554668	0.012188918339466205	0.01096578043859757	0.004566706115829253	0.007068115963329569	0.007591222643653112	0.009458721904452898
france	0.009972977244766333	0.03019993363653424	0.013127562675834458	0.01804750659933892	0.004053522694581696	0.010902047995853687	0.015113606403116368	0.010399075703397695	0.02306756573986652	0.012830907041005634	0.0038576878656815966	0.01360120531024259	0.022625134786388664	0.011069704122055692	0.009152833056114645	0.009059727753756077	0.002655964332889717	0.015681759262285506	0.016008814679943875	0.018536134072792056	0.011362452991348707	0.006845284606160514	0.015754387083056747	0.013486966351254875	0.005990257827955122	0.007338559724082536	0.016804885794639134	0.007757290800113059	0.010027058922098394	0.01001084117827215	0.016002288609177816	0.017020249913682874	0.015491051136944288	0.01347764138971145	0.01115849260364408	0.00526206741636083	0.008301298421002358	0.009760526056560963	0.0036981711443734196	0.013516832913130357	0.01756108293163936	0.014106185065496565	0.006351113392372778	0.01088776768826605	0.007899388960457467	0.009789206289998797	0.007362311773225464	0.010319021280956624	0.018066744180644998	0.004512078991659653	0.014824371235264122	0.00641485513734264	0.013463531832572111	0.00930973308529396	0.003700632740656614	0.01360073617639969	0.012564650189178352	0.0033897072879477204	0.013434760976375956	0.005780486925104226	0.011799757499845444	0.010858799668669398	0.012101150866603058	0.01793837564690589	0.015596695703903792	0.016169353792410225	0.024884856418517617	0.02269683178028965	0.012140048044186343	0.005471214307433157	0.005821678676296434	0.018413613181573432	0.02044272957093015	0.00462636337139362	0.009208309804696934	0.009081609391601094	0.03912996897397313	0.03036557650969336	0.009815765566391637	0.011068659223817003
grece	0.008482523338311707	0.005578335958172029	0.015642922069876358	0.006930121933005054	0.004287317103133787	0.019304488678120853	0.01297671943619208	0.007603421227897103	0.0022930365516248504	0.007719915484033056	0.008780442100913461	0.016380299536771274	0.013737982342714238	0.011800120154258518	0.008159670254272297	0.020046733784663512	0.008339155520534665	0.02526017570644359	0.012166946060840058	0.011611349479330341	0.021686995570434135	0.01689563027662035	0.009565219085661634	0.015590674359816216	0.009526279061654472	0.009360514936556057	0.014671534645348079	0.016941800684049633	0.01248475821533077	0.026422712875212622	0.011382783170689371	0.0014577227671252085	0.02023890584135005	0.025421890805606782	0.019560373655260706	0.010914915713872791	0.009222890717037576	0.012078033458634832	0.02170246985365791	0.009955241437548883	0.008967255245651992	0.0069556834182328605	0.01950296475988759	0.012414474845710592	0.01372444048133746	0.01965072881233182	0.01117397072931332	0.017076787979101355	0.016231920197527738	0.0037997539182930244	0.016779315100088368	0.014945378967544729	0.01785779576976521	0.012824961597206313	0.0038680065043034187	0.011276817314095858	0.0068586711401704414	0.010000509845191421	0.007629924734006485	0.0262833729922863	0.010517126745321759	0.01183722449569099	0.013086004072889812	0.011392015284879894	0.01353241879288491	0.006695849155420526	0.023514118748275	0.002441375464574159	0.014236615062443475	0.006392694050436593	0.010258590225109328	0.016097638865993306	0.007753185414419561	0.008998073600476678	0.020600367883522583	0.00719331345921302	0.0023065685418990054	0.0027073792862199104	0.013051636522325665	0.01738204612338073
rome	0.009529484357301476	0.007213624880174208	0.013572094624514733	0.00884905165897115	0.010188939782440743	0.01862386990828879	0.013620953240410683	0.006436277141189079	0.002474495454082135	0.00895973886197044	0.009172047247685822	0.025073356728439904	0.013010391395567963	0.014196006095153925	0.007981570911082866	0.015437600065809985	0.003024140360470303	0.018264235605891386	0.011411865730542748	0.009940113396591599	0.01895202201386514	0.015825988049368536	0.010693801861630195	0.01503586025831894	0.012760276789801099	0.01046412896879174	0.014989319523296516	0.016422641512173243	0.014355355409972213	0.02036641777487322	0.012811389807023291	0.0016220288575186656	0.016310669003447523	0.020422221191748177	0.017050410286544974	0.01287506757772169	0.009700097819309096	0.012951777078839034	0.0039728605595282475	0.009176046829719654	0.008041681685244176	0.011930884182359403	0.021721521142875688	0.015772849050189722	0.01647479508331856	0.020627963317811176	0.012496203172265916	0.020819659495648526	0.014304188594027744	0.0029166503669497633	0.017973683438478202	0.016028970651993022	0.016421545106420268	0.012635439402664157	0.01211823377323207	0.01162410363484612	0.008936807090895357	0.006809464542474043	0.01054035423249473	0.015653770068412162	0.017785677591167635	0.00956753188389253	0.01658413901848864	0.009251935245446553	0.013966195193513222	0.006951126243781099	0.02120505252992647	0.002396482358129885	0.012152828340872985	0.0076232007479517675	0.009654638522545814	0.014161445575139021	0.007150043070953734	0.009911565199302563	0.024341557205957307	0.009456642208528244	0.002439839421491674	0.0033987332437712507	0.015978856599543952	0.018435503146923757
