	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29	tp30	tp31	tp32	tp33	tp34	tp35	tp36	tp37	tp38	tp39	tp40	tp41	tp42	tp43	tp44	tp45	tp46	tp47	tp48	tp49	tp50	tp51	tp52	tp53	tp54	tp55	tp56	tp57	tp58	tp59	tp60	tp61	tp62	tp63	tp64	tp65	tp66	tp67	tp68	tp69	tp70	tp71	tp72	tp73	tp74	tp75	tp76	tp77	tp78	tp79
histoire	0.008741452179116848	0.007355095702317991	0.01372519883122825	0.009989801213013447	0.008210261127836556	0.017874823625707196	0.014112912530202115	0.007307601468155073	0.0025958118144293304	0.009175811630157968	0.007376870457953949	0.02198760683050566	0.013352195800791146	0.014222651151514592	0.007661771671989069	0.016937176469378364	0.0029385843322720395	0.022063739597841827	0.011350451778449743	0.010430340320442951	0.021357802688672215	0.018736847184197884	0.009970998495213086	0.015270134144770301	0.012581884651293954	0.00959409346422047	0.015850924004764462	0.01644407026966271	0.014348777632022271	0.02118003910243517	0.01197642677690905	0.001612381340561447	0.018294855575732696	0.020897439947239558	0.016467238174664563	0.01144784091116045	0.009536412650617087	0.013723229388287564	0.00388149106427526	0.011030654261218513	0.0083754709174352	0.010089160468069534	0.02040263526381965	0.01722262604904062	0.01569397411196648	0.020057905690445226	0.011288050688929489	0.017375823351123296	0.014787805765930216	0.0029218449670292304	0.017711152589935896	0.01676131840264361	0.01659222234122269	0.012082372814342894	0.008939016880116954	0.011714591091289216	0.008203346454986219	0.010242509679632611	0.00970951637566226	0.01892782335052012	0.015262783236081393	0.010044604057033894	0.015399376334757154	0.01032969353148935	0.013592136172257121	0.007017129630116532	0.02244266876133684	0.0026487309664117763	0.012985618999749494	0.007487587427633079	0.008993752549505803	0.01460880293852578	0.008343944620013859	0.009668974270696216	0.020574469336115064	0.008663674020010241	0.002438830286207574	0.0033641449794221986	0.016403846075963877	0.019016364291308596
moeurs	0.008681145494137708	0.019484088600744603	0.014892778662450536	0.016151572650314878	0.0035911586558193516	0.011971574993446171	0.016894317472200004	0.01134104150124243	0.011744328385501447	0.011845057428770721	0.006240367564356718	0.015010059760241548	0.025796627392313976	0.013669606056238872	0.007990516033159673	0.012378436270840723	0.0039048150919466056	0.02043818222182697	0.017223589365705255	0.014434299433825837	0.015346294439590055	0.007261694320917353	0.014203848316901517	0.013938732777836107	0.00607076253759703	0.011212824060273961	0.0177220221469181	0.009268529719655763	0.010584099406968214	0.016087899352175916	0.015841321845726137	0.015531106887631317	0.016083752174366955	0.017475853300112414	0.01309522401705687	0.005733304955372112	0.008418555940234527	0.011293487854601568	0.0031297672057967138	0.014102232811082605	0.014084887875051199	0.010672630559876854	0.009357681960057245	0.00987618115027307	0.01051989866709552	0.012784013199369294	0.00706971732832661	0.010890072527661882	0.01834034811003973	0.009661501358091722	0.015113016424427243	0.007509252864155696	0.01771454482402128	0.008454941020409416	0.003528712325888557	0.012182895157290331	0.011756253782042009	0.0038124738544717896	0.010668543074753236	0.009775956531656603	0.010486151507955175	0.009917639404037693	0.014278443213234595	0.019271023540193704	0.013543736131770052	0.0144497033166735	0.023922449298006188	0.01816538983864474	0.011993304348359617	0.009262683252672061	0.009118200054848064	0.02020062126674875	0.016015386016598254	0.005954183787136907	0.010799799769787321	0.009070806371199436	0.01823444585360535	0.025744093048923004	0.009265885097888699	0.01044765518085846
mythe	0.010171766956636623	0.005506399151034296	0.015694739510803888	0.006290419614307371	0.00448274339570872	0.023670673009204495	0.012342316820159703	0.006974233577741718	0.002199292798916894	0.007445977398360916	0.011075596183896304	0.018368476323659604	0.012049859643295585	0.010879970344198405	0.009740801581086492	0.016832000391991328	0.012232726305537855	0.02044804553369512	0.011285092687509504	0.011406761315831508	0.01497647181678694	0.016836633752379964	0.009128617785998763	0.01478315709454441	0.009869527706269957	0.010652372296786497	0.013069091861381329	0.015966997084535958	0.01271635139727476	0.02375768346377326	0.011549359141270032	0.0014824491411213835	0.01829263769091768	0.023419335875318737	0.018194640162524638	0.010160054160866497	0.011262891871477334	0.01041980698446138	0.032974451349816664	0.00801132638948774	0.009558223749438845	0.006520837303441051	0.017393327968335457	0.012973039909340955	0.013715535701812406	0.019596527817694522	0.01531425667078378	0.017803615608670654	0.014045366850970088	0.004468060505524065	0.015761810586950014	0.01808397475400905	0.014734670547840459	0.01403389741322105	0.003251493025764666	0.012085394386179114	0.007335622199829049	0.012654509583509258	0.006941923362097675	0.02630984247112257	0.010864510241701588	0.013209128145492754	0.014868222663712901	0.01154868868645423	0.014218826894305972	0.006098204790771861	0.02208861239794877	0.002388441488387479	0.014751104094193402	0.006563676098858059	0.010244396867645422	0.015320776458064131	0.007153639177386571	0.00611717347123034	0.024902974594923254	0.007712069379261303	0.002381688747757482	0.002235788994109547	0.012153271907887434	0.015975124912802684
