	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29
divers	0.009023135033832983	0.02640021533226642	0.005452078907268006	0.003838762590099729	0.008896578526269535	0.0007197361136184474	0.015728916177810054	0.0954312203510487	0.0013430672670777532	0.0006705776514654452	0.02320141691080887	0.0782999343005184	0.05681488614809044	0.06990093148602376	0.033465400662456846	0.01877771916974696	0.023216861424087548	0.05344244374754585	0.10650599874393876	0.0019371368034493946	0.0013677991975507041	0.02360030952073668	0.11619821576302485	0.03105050483092392	0.06988578670840195	0.002320998243770016	0.07666820241839298	0.01065820813012708	0.021927527111374186	0.013255430728273657
espagne	0.02286858045678594	0.01459141866605054	0.00319108170907235	0.04929383588046469	0.01124797437314451	0.0025988554191035454	0.03587073043442869	0.059201621193557	0.030518761990813725	0.0033469638778657203	0.021143334708219785	0.01714475009941954	0.034238952248201476	0.06771729743841776	0.0042070671058345175	0.005030503916865037	0.01806995221851178	0.024592935403213174	0.08951296491258613	0.033398141156667255	0.010065046273007515	0.006690645619042463	0.1422644464631192	0.03118286457163384	0.17682612367784573	0.004505306438813228	0.040926487139701095	0.009789925644667009	0.018434353004532323	0.011529077958414435
europe	0.008992562907741173	0.015517028725326178	0.00285456735153749	0.01151166495008723	0.013206182261645764	0.03695993228793926	0.008898693204420258	0.06917452401220317	0.006860266459259135	0.002282947465619777	0.015507598317146518	0.017574957564167826	0.03261946686524788	0.058752821562832645	0.003932879652545633	0.0037576238937840354	0.021085729962210087	0.043121257711216165	0.10735662135624352	0.018116198047344843	0.009729688199594086	0.0060519209176584056	0.20421902522224794	0.02146918005975541	0.13105225690325634	0.048966188160937126	0.03428621872967974	0.0066086615861534	0.028239750291566595	0.011293585370632409
france	0.007451356593100546	0.006066987545104339	0.005107614315200466	0.12380898303174558	0.02985908543613687	0.001972560498002351	0.01923439794514085	0.04862983574720984	0.02907851712880445	0.026532230512097965	0.01366237372902991	0.015428525981318759	0.02756778545348492	0.09723823423823937	0.004124389915350785	0.004839168960758229	0.0250921407722392	0.013119070173975775	0.09602118385768363	0.025937565174545894	0.017733045455353726	0.008462295158666172	0.08015032785789	0.016923326595269093	0.1784754534860993	0.0073494995801821235	0.028228589108952012	0.016219559357746015	0.01855388764032352	0.007132008750348424
grece	0.008304154033930755	0.036996007197237016	0.01970625509671772	0.0023649238664791594	0.006916957084448622	0.0005870079845172436	0.01805453912885105	0.08976763777484961	0.0014127663629287907	0.0008170873074487886	0.033946673724197705	0.052777591593938473	0.04693439408395112	0.061374382040298256	0.021123159695217806	0.00854781521069151	0.01611687291944006	0.0643387732001649	0.09613094718638791	0.002437615516156711	0.0019269625858075615	0.01122976354609488	0.19665521072355924	0.020071176573007214	0.07069739669356685	0.0024434367031600885	0.06409725208260329	0.006914890035213131	0.015357967439804825	0.02195038260932943
rome	0.009936907619781735	0.023571561556057122	0.003779436922694062	0.0027695704499985986	0.006071766539950582	0.0014160581202089472	0.017902363791959017	0.09239181151446875	0.0013055047381695954	0.0011289058781026062	0.04972020301324238	0.06109058899479252	0.05147826463975554	0.07335685350582329	0.008300720939244744	0.012546220615468886	0.016631838902956286	0.06790796904858092	0.09085297387186825	0.002103998227646324	0.0025018910218004096	0.0333608238007044	0.1380450063414669	0.028327137570205725	0.06321525587927261	0.0015193864797836535	0.07455659515957434	0.013157352490484222	0.0202426435714577	0.030810388794479667
