	tp00	tp01	tp02	tp03	tp04	tp05	tp06	tp07	tp08	tp09	tp10	tp11	tp12	tp13	tp14	tp15	tp16	tp17	tp18	tp19	tp20	tp21	tp22	tp23	tp24	tp25	tp26	tp27	tp28	tp29
histoire	0.0024775391580553682	0.021402100042059405	0.0019678613795016155	0.028751455777726868	0.03655327252227311	0.02623664388825627	0.0333547018720646	0.030001829452801148	0.016302986545558982	0.0480103425760253	0.07785800735371784	0.03185081663281139	0.028987100172461526	0.024896817998238816	0.014897489401561917	0.0549413533470542	0.027105362204942314	0.06903577406504434	0.0462830944314924	0.04635568148256357	0.03650458357938158	0.032976199672800514	0.002723084419151427	0.049049855852535164	0.013248623463023817	0.055773378088947057	0.07652124716507253	0.003032625694232868	0.039667038094883894	0.023233133665760262
moeurs	0.02895078020206392	0.005701856313778299	0.07049913677111405	0.022737760893333393	0.04693662335869388	0.010597888352049155	0.04787301046754291	0.0763937890262654	0.026166853169216457	0.02094660608875582	0.06666065093891844	0.006288989839392022	0.04724576995078854	0.040413258790528477	0.01748049431586601	0.03654619176373053	0.03444612396130537	0.024791607086703443	0.023026859913740916	0.03823744289431424	0.012072501626542513	0.01570471939136136	0.0033998502341407843	0.029442348172262548	0.010891003313341913	0.02465880275531926	0.07762387271420508	0.036392226178834704	0.05476684155864425	0.04310613995724613
mythe	0.001513562510727081	0.028438093259473853	0.0018049865696481478	0.029034405406715244	0.043289039175327476	0.017877487995705207	0.027249383732231902	0.02873328592831864	0.012753828783505693	0.05238642359342942	0.07536837767237206	0.020217551233255453	0.027717028309382517	0.022499386649949462	0.014831570664822638	0.03981051259719274	0.01675237889782091	0.06904320650508733	0.026943643386429465	0.04389534057136539	0.0411164313562532	0.03891380780625594	0.03552565301441996	0.04859060812993512	0.02014523869096414	0.06268087816665936	0.09247237872884546	0.002422766718588809	0.04398521079008338	0.01398753315523395
