$idno,$author-name,$title,$pupyear,$genre,$subgenre,$narration
acd007,Doyle,MysteryCloomber,1889,novel,horror,homodiegetic
acd004,Doyle,WhiteCompany,1891,novel,historical,heterodiegetic
acd001,Doyle,StudyScarlet,1887,novel,crime,homodiegetic
acd008,Doyle,RafflesHaw,1891,novel,horror,homodiegetic
acd003,Doyle,SignFour,1890,novel,crime,homodiegetic
acd002,Doyle,HoundBaskervilles,1902,novel,crime,homodiegetic
acd005,Doyle,Refugees,1893,novel,historical,heterodiegetic
acd009,Doyle,Parasite,1894,novel,horror,homodiegetic
acd006,Doyle,FirmGirdlestone,1890,novel,historical,heterodiegetic
