,acd05,acd04,acd01,acd02,acd06,acd03
aggressive,1.0,1e-10,1e-10,1e-10,3.0,1.0
aghast,2.0,4.0,1e-10,1.0,2.0,1e-10
agitation,1.0,1e-10,4.0,2.0,2.0,1.0
aglow,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
ago,11.0,7.0,5.0,6.0,14.0,8.0
agonised,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
agony,2.0,1e-10,1e-10,2.0,1.0,1.0
agree,1.0,2.0,1.0,2.0,5.0,1.0
agreed,2.0,1.0,1.0,2.0,4.0,2.0
ah,134.0,50.0,4.0,5.0,37.0,19.0
ahead,6.0,2.0,1.0,2.0,12.0,3.0
aid,9.0,12.0,1.0,5.0,7.0,1.0
aided,2.0,1e-10,1.0,2.0,2.0,1.0
aigrette,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
ails,1.0,3.0,1e-10,1e-10,1e-10,1e-10
aim,6.0,7.0,1.0,1e-10,2.0,1e-10
aimed,1.0,3.0,1e-10,1e-10,1e-10,1.0
aiming,1.0,2.0,1e-10,1e-10,2.0,1e-10
aimlessly,1.0,1e-10,1e-10,1e-10,1.0,1e-10
ain,1.0,1e-10,8.0,1e-10,33.0,5.0
air,54.0,72.0,13.0,17.0,44.0,18.0
airs,1.0,1.0,1.0,1e-10,1.0,1.0
aisles,1.0,1.0,1e-10,1e-10,1e-10,1e-10
ajidaumo,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
alabaster,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
alarm,4.0,4.0,2.0,1e-10,7.0,3.0
alarmed,3.0,1e-10,1.0,4.0,2.0,1.0
alas,4.0,29.0,1.0,1e-10,4.0,1e-10
albany,6.0,1e-10,1e-10,1e-10,1e-10,1e-10
alcove,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
alder,3.0,1e-10,1e-10,1e-10,1e-10,1e-10
alderman,1.0,9.0,1e-10,1e-10,1e-10,1e-10
alders,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
aleppo,1.0,1.0,1e-10,1e-10,1e-10,1e-10
alert,2.0,1e-10,1e-10,4.0,3.0,1e-10
alexander,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
algonquin,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
algonquins,5.0,1e-10,1e-10,1e-10,1e-10,1e-10
alive,5.0,8.0,1e-10,6.0,9.0,3.0
all,478.0,541.0,186.0,215.0,504.0,186.0
alleghanies,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
alliance,1.0,1e-10,1e-10,1e-10,1.0,1.0
alliances,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
allied,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
allotted,6.0,1.0,2.0,1e-10,2.0,1e-10
allow,6.0,5.0,3.0,6.0,16.0,3.0
allowance,2.0,1e-10,1e-10,1e-10,2.0,1.0
allowed,4.0,1.0,4.0,3.0,8.0,1.0
allude,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
alluded,1.0,1e-10,2.0,1e-10,2.0,1.0
allurions,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
allusion,1.0,1.0,1.0,1e-10,2.0,1.0
almighty,2.0,1e-10,1.0,1e-10,1.0,1e-10
almoner,1.0,1e-10,1e-10,1.0,1e-10,1e-10
almost,11.0,9.0,9.0,11.0,25.0,5.0
aloft,1.0,2.0,1e-10,1.0,2.0,1e-10
alone,22.0,18.0,9.0,19.0,24.0,9.0
along,59.0,50.0,22.0,20.0,54.0,8.0
alongside,3.0,1.0,1e-10,1e-10,4.0,1.0
aloud,1.0,3.0,2.0,3.0,5.0,2.0
alow,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
already,68.0,58.0,18.0,31.0,36.0,15.0
also,54.0,77.0,6.0,41.0,36.0,10.0
altar,4.0,1.0,1e-10,1e-10,2.0,1e-10
alter,1.0,1e-10,1e-10,1e-10,2.0,1e-10
altered,3.0,1e-10,1e-10,1.0,2.0,1e-10
altering,1.0,1.0,1e-10,1e-10,1e-10,1e-10
alternating,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
alternative,1.0,1e-10,2.0,4.0,4.0,1.0
alters,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
although,5.0,4.0,1.0,2.0,8.0,3.0
altogether,4.0,1e-10,1.0,3.0,12.0,3.0
always,32.0,9.0,17.0,30.0,51.0,21.0
am,184.0,189.0,41.0,84.0,134.0,65.0
amalekites,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
amazement,17.0,8.0,4.0,8.0,2.0,1e-10
amber,1.0,2.0,1e-10,1e-10,1e-10,1.0
ambition,9.0,1.0,1e-10,1e-10,1e-10,1e-10
ambitions,1.0,1.0,1e-10,1e-10,2.0,1.0
ambitious,4.0,1.0,1.0,1.0,1e-10,1e-10
ambuscade,2.0,1e-10,1e-10,1e-10,1.0,1e-10
ambush,1.0,1e-10,1e-10,2.0,1e-10,1e-10
ame,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
amend,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
america,15.0,1e-10,3.0,6.0,1.0,2.0
american,27.0,1e-10,10.0,2.0,2.0,1.0
americans,8.0,1e-10,1e-10,1e-10,1e-10,1e-10
amiable,1.0,1e-10,1e-10,4.0,3.0,2.0
amid,25.0,56.0,1e-10,9.0,6.0,1.0
amidships,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
amidst,3.0,5.0,1e-10,1e-10,1.0,1e-10
amiss,9.0,17.0,1.0,1e-10,1.0,4.0
ammunition,3.0,1e-10,1e-10,1e-10,1e-10,1e-10
among,67.0,91.0,20.0,21.0,66.0,18.0
amongst,5.0,16.0,3.0,1e-10,6.0,1e-10
amorous,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
amory,36.0,4.0,1e-10,1e-10,1e-10,1e-10
amos,192.0,1e-10,1e-10,1e-10,1e-10,1e-10
amuse,5.0,1.0,1e-10,1e-10,1.0,2.0
amused,4.0,2.0,1e-10,1.0,7.0,1e-10
amusement,4.0,3.0,3.0,3.0,5.0,2.0
amuses,1.0,1e-10,1.0,1e-10,1e-10,1e-10
an,358.0,306.0,129.0,201.0,421.0,147.0
ancestors,2.0,2.0,1e-10,3.0,1e-10,1e-10
anchor,5.0,7.0,1.0,1e-10,9.0,1e-10
and,4229.0,5497.0,1356.0,1628.0,4095.0,1187.0
andastes,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
andelys,2.0,1.0,1e-10,1e-10,1e-10,1e-10
andre,3.0,2.0,1e-10,1e-10,1e-10,1e-10
angel,5.0,4.0,1.0,1.0,4.0,1e-10
angelus,2.0,1.0,1e-10,1e-10,1e-10,1e-10
anger,26.0,13.0,1e-10,5.0,11.0,3.0
angle,2.0,3.0,1e-10,2.0,5.0,2.0
angles,1.0,1e-10,1e-10,1e-10,2.0,1.0
anglo,1.0,3.0,1.0,1e-10,1.0,1e-10
angoumois,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
angrily,10.0,1.0,1e-10,1e-10,16.0,1.0
angry,19.0,12.0,1.0,5.0,16.0,3.0
animal,1.0,1.0,2.0,9.0,6.0,3.0
animals,1.0,1.0,4.0,1e-10,1.0,1e-10
anjou,4.0,4.0,1e-10,1e-10,1e-10,1e-10
ankle,1.0,2.0,1e-10,1e-10,1e-10,1e-10
ankles,5.0,3.0,1e-10,1e-10,1.0,1e-10
anne,15.0,1e-10,1e-10,1e-10,1e-10,1e-10
annihilating,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
announced,2.0,9.0,1e-10,1.0,9.0,1e-10
announcement,2.0,1e-10,1.0,1e-10,4.0,1e-10
annoy,1.0,1e-10,1.0,1e-10,1e-10,1.0
annoyance,1.0,1e-10,1e-10,1.0,1e-10,1e-10
annoyances,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
annoyed,2.0,1e-10,1.0,1e-10,1e-10,2.0
annoying,2.0,1e-10,1e-10,1e-10,1.0,1e-10
another,51.0,81.0,23.0,26.0,83.0,13.0
answer,17.0,24.0,15.0,25.0,18.0,7.0
answerable,2.0,1.0,1e-10,1e-10,1e-10,1.0
answered,31.0,137.0,59.0,9.0,140.0,43.0
answering,3.0,3.0,1e-10,1e-10,3.0,1e-10
answers,1.0,1.0,1e-10,1e-10,3.0,1.0
antagonisms,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
antagonist,2.0,3.0,1.0,1e-10,3.0,1e-10
antagonistic,1.0,1e-10,1e-10,1e-10,1.0,1.0
antagonists,2.0,1e-10,1e-10,1e-10,1.0,1e-10
ante,13.0,1e-10,1e-10,1e-10,1e-10,1e-10
antechamber,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
anteroom,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
anthem,1.0,1.0,1e-10,1e-10,1e-10,1e-10
anticosti,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
antlered,1.0,1.0,1e-10,1e-10,1e-10,1e-10
anxiety,5.0,2.0,1.0,4.0,6.0,2.0
anxious,3.0,6.0,3.0,4.0,22.0,3.0
anxiously,3.0,2.0,4.0,1e-10,6.0,1e-10
any,93.0,108.0,69.0,94.0,195.0,57.0
anyhow,2.0,1e-10,2.0,3.0,1e-10,2.0
anyone,4.0,1e-10,9.0,18.0,1e-10,1e-10
anything,19.0,1.0,22.0,38.0,68.0,28.0
anyway,1.0,1e-10,1e-10,1e-10,1e-10,1.0
anywhere,2.0,1e-10,1.0,3.0,3.0,1e-10
apart,4.0,8.0,1.0,4.0,15.0,3.0
apartment,7.0,4.0,4.0,1.0,12.0,2.0
apartments,2.0,1e-10,1.0,1e-10,1.0,1e-10
ape,2.0,1e-10,1.0,1e-10,1e-10,1e-10
apeak,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
aperture,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
apollo,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
apologise,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
apostle,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
apparently,3.0,1e-10,4.0,3.0,6.0,1.0
apparition,1.0,1e-10,1.0,4.0,5.0,1e-10
appeal,2.0,1.0,1e-10,1.0,6.0,2.0
appealingly,1.0,1e-10,1e-10,1e-10,1.0,1e-10
appeals,1.0,1.0,1e-10,1.0,1e-10,1e-10
appear,2.0,6.0,7.0,1.0,17.0,3.0
appearance,7.0,10.0,12.0,11.0,28.0,7.0
appeared,19.0,12.0,39.0,9.0,61.0,10.0
appearing,3.0,1.0,1e-10,1e-10,2.0,1e-10
appears,1.0,4.0,10.0,7.0,4.0,2.0
appetite,1.0,1e-10,1e-10,1e-10,1.0,1e-10
apple,1.0,4.0,1e-10,1e-10,1e-10,1e-10
applicants,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
appointment,1.0,1e-10,1e-10,10.0,6.0,1.0
appreciation,1.0,1e-10,1e-10,2.0,4.0,2.0
apprehension,2.0,1.0,1e-10,1e-10,1.0,1e-10
approach,4.0,3.0,3.0,2.0,6.0,1e-10
approached,3.0,13.0,6.0,7.0,11.0,1e-10
approaching,2.0,1.0,3.0,1.0,7.0,2.0
approval,2.0,2.0,1e-10,1.0,1.0,1e-10
approved,1.0,1.0,1e-10,1e-10,1.0,1e-10
aquiline,1.0,3.0,1e-10,1e-10,1.0,1.0
arabesque,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
arc,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
arcadia,2.0,1e-10,1e-10,1e-10,1e-10,1e-10
arch,1.0,7.0,1.0,1.0,1e-10,1e-10
archbishop,22.0,1.0,1e-10,1e-10,1.0,1e-10
arched,6.0,5.0,1.0,1e-10,1e-10,1e-10
archers,1.0,125.0,1e-10,1e-10,1e-10,1e-10
arching,1.0,3.0,1e-10,1e-10,1e-10,1e-10
architect,4.0,1e-10,1e-10,1.0,1e-10,1e-10
architects,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
archway,1.0,1.0,1e-10,1e-10,1e-10,1e-10
ard,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
ardent,1.0,1e-10,1e-10,1e-10,2.0,1.0
are,471.0,536.0,136.0,199.0,406.0,129.0
argent,1.0,5.0,1e-10,1e-10,1e-10,1e-10
argue,1.0,1.0,1.0,1.0,6.0,1.0
argued,1.0,1e-10,4.0,1.0,1.0,3.0
arguing,1.0,1e-10,1.0,1e-10,1.0,1e-10
argument,2.0,5.0,2.0,2.0,1e-10,1.0
arguments,2.0,1e-10,1e-10,1e-10,2.0,1e-10
aright,3.0,1.0,1e-10,1.0,1e-10,1e-10
arise,1.0,1.0,1.0,1.0,3.0,1e-10
arisen,3.0,1.0,1e-10,1e-10,1e-10,1e-10
aristocratic,1.0,1e-10,1e-10,1e-10,1.0,1e-10
arm,35.0,58.0,9.0,5.0,27.0,8.0
armed,7.0,12.0,5.0,2.0,2.0,1e-10
armies,4.0,3.0,1e-10,1e-10,1e-10,1e-10
armorial,1.0,1.0,1e-10,1e-10,1e-10,1e-10
arms,65.0,170.0,8.0,8.0,20.0,7.0
army,4.0,40.0,3.0,1e-10,9.0,5.0
arnaud,2.0,2.0,1e-10,1e-10,1e-10,1e-10
arnauld,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
around,19.0,34.0,2.0,10.0,19.0,1.0
aroused,2.0,3.0,2.0,2.0,2.0,1e-10
arousing,1.0,1e-10,1e-10,1e-10,1.0,1e-10
arpents,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
arrange,1.0,1e-10,1e-10,1.0,2.0,1.0
arranged,9.0,2.0,5.0,5.0,10.0,2.0
arrangements,3.0,1e-10,2.0,4.0,6.0,1e-10
arranging,1.0,1e-10,1e-10,1e-10,2.0,1e-10
arrayed,1.0,1.0,1e-10,1e-10,3.0,1e-10
arrest,1.0,1e-10,1e-10,3.0,1e-10,1.0
arrested,1.0,1.0,1.0,2.0,2.0,6.0
arrival,1.0,3.0,2.0,6.0,4.0,1.0
arrived,7.0,3.0,8.0,4.0,15.0,5.0
arriving,1.0,1e-10,1.0,1e-10,2.0,1e-10
art,3.0,23.0,4.0,2.0,4.0,2.0
artful,1.0,1.0,1e-10,1e-10,1e-10,1e-10
artificial,1.0,1e-10,1e-10,1.0,1e-10,1.0
artillerymen,1.0,1e-10,1e-10,1e-10,1e-10,1e-10
artisan,1.0,1e-10,1.0,1e-10,1e-10,1e-10
