#doc name topic proportion ...
0	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0132§0021.txt	2	0.750178460384409	25	0.23715546708452426	17	0.009858186657605246	14	2.7021567689576717E-4	13	1.9257889856905724E-4	5	1.5643595499449049E-4	11	1.4843636766087446E-4	28	1.290380148311005E-4	18	1.2495478177062283E-4	15	1.1786594028248216E-4	16	1.0684303524339575E-4	3	9.53931022360022E-5	23	9.504742994856384E-5	26	9.20660057726704E-5	27	9.18546619592555E-5	1	8.680606821719282E-5	22	8.678543820146385E-5	29	8.662865793688044E-5	7	8.431579178048084E-5	19	8.286901146752098E-5	21	8.279432696264017E-5	8	8.186557608870139E-5	4	7.968698359849975E-5	10	7.757643889538342E-5	6	7.642589500170186E-5	0	7.580733807418623E-5	20	7.541822616662639E-5	12	7.119368652471806E-5	9	7.11510417508657E-5	24	6.783152263020915E-5	
1	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/0tc0131_0203-003.txt	23	0.6999430838120915	25	0.2997318246404219	14	2.9553563624412065E-5	13	2.106240761810139E-5	5	1.7109443841997008E-5	11	1.6234526753732522E-5	2	1.554159880408064E-5	28	1.4112923517571434E-5	18	1.3666339183781362E-5	15	1.289103062156219E-5	17	1.2846054725860393E-5	16	1.168545243623672E-5	3	1.0433170083426413E-5	26	1.0069284619254912E-5	27	1.0046169887688864E-5	1	9.49400378806093E-6	22	9.491747477511435E-6	29	9.47460037643408E-6	7	9.221641562596377E-6	19	9.063406797978708E-6	21	9.05523853293906E-6	8	8.953660791930473E-6	4	8.715387526254342E-6	10	8.484556665949468E-6	6	8.358721360776876E-6	0	8.291069617833385E-6	20	8.248512340442252E-6	12	7.786473266598479E-6	9	7.78180919583925E-6	24	7.418752467740466E-6	
2	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0152§0022.txt	29	0.5059134712483928	25	0.26466364705145756	5	0.20073016579490305	13	0.026336350734003974	14	2.4193606465697739E-4	11	1.329016549165684E-4	2	1.2722909835587244E-4	28	1.155334503831453E-4	18	1.1187755095836731E-4	15	1.0553059717566939E-4	17	1.0516240837282982E-4	16	9.566130203750154E-5	3	8.540966984421698E-5	23	8.510017413381053E-5	26	8.243077300773498E-5	27	8.224154753016609E-5	1	7.772131792676805E-5	22	7.770284695988479E-5	7	7.549166312684132E-5	19	7.419629662789567E-5	21	7.412942828254542E-5	8	7.329787648633283E-5	4	7.134728612967508E-5	10	6.945762197095362E-5	6	6.842748905990194E-5	0	6.78736676438811E-5	20	6.752527851743337E-5	12	6.374286105116273E-5	9	6.370467929619369E-5	24	6.0732566790245245E-5	
3	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0167§0014.txt	14	0.7249832783532102	25	0.2725966658239488	13	1.6661211530938689E-4	5	1.3534258200531625E-4	11	1.2842163595588185E-4	2	1.2294029718674338E-4	28	1.1163890107422242E-4	18	1.0810623938302757E-4	15	1.0197323683597784E-4	17	1.0161745941220552E-4	16	9.243662852082479E-5	3	8.253057145700518E-5	23	8.223150862383975E-5	26	7.965209108499645E-5	27	7.94692442618385E-5	1	7.510138833913385E-5	22	7.508354001522603E-5	29	7.494789954934374E-5	7	7.294689359485675E-5	19	7.169519296658786E-5	21	7.163057870494505E-5	8	7.082705792020604E-5	4	6.894222055803015E-5	10	6.711625561558795E-5	6	6.612084774220744E-5	0	6.558569524679686E-5	20	6.524905006660143E-5	12	6.159413516586892E-5	9	6.155724049032955E-5	24	5.868531575396382E-5	
4	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/3tc0176_0411-031.txt	25	0.4026834051091956	15	0.26167014459644494	21	0.18372586757138124	24	0.0946610472670661	5	0.05574955905956364	14	1.544057501483335E-4	13	1.100427985448275E-4	11	8.481901924147826E-5	2	8.119874314806098E-5	28	7.37344764986874E-5	18	7.140124894143976E-5	17	6.711558516599969E-5	16	6.105189452514616E-5	3	5.4509211600658676E-5	23	5.431168868318561E-5	26	5.2608053121852954E-5	27	5.2487287737607227E-5	1	4.9602436966206325E-5	22	4.959064863071522E-5	29	4.9501061769436285E-5	7	4.817945142478804E-5	19	4.735273699397217E-5	8	4.677935726200429E-5	4	4.553447313247664E-5	10	4.432847264482924E-5	6	4.367103265088317E-5	0	4.331757889313047E-5	20	4.3095233851315584E-5	12	4.068126135373973E-5	9	4.065689341782933E-5	
5	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/3tc0143_0404-021.txt	4	0.8807653820501231	25	0.11596503283729825	28	0.002535262415195914	14	6.941070081055744E-5	13	4.94680266687847E-5	5	4.0183935265624486E-5	11	3.812906942882208E-5	2	3.6501630680392075E-5	18	3.2097319711301556E-5	15	3.0276398507619508E-5	17	3.0170766290810785E-5	16	2.7444928577670384E-5	3	2.450376734155274E-5	23	2.44149739895255E-5	26	2.3649131149318534E-5	27	2.3594842951203503E-5	1	2.2298003205375068E-5	22	2.2292703942704854E-5	29	2.225243156412559E-5	7	2.1658322211770572E-5	19	2.1286685611721644E-5	21	2.1267501292428928E-5	8	2.1028931681001926E-5	10	1.992717466275288E-5	6	1.9631632750117847E-5	0	1.9472743116757876E-5	20	1.9372791365224673E-5	12	1.8287627615602748E-5	9	1.8276673389434213E-5	24	1.7423983600426543E-5	
6	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0139§0027.txt	18	0.8560555214466367	25	0.14133271797099553	14	2.3984430838634263E-4	13	1.7093365295351112E-4	5	1.3885305939108648E-4	11	1.3175259981209844E-4	2	1.2612908763746038E-4	28	1.1453455912793018E-4	15	1.046181896406497E-4	17	1.0425318416328172E-4	16	9.483422349227622E-5	3	8.467122593870504E-5	23	8.436440609885926E-5	26	8.171808436176286E-5	27	8.153049490972755E-5	1	7.704934678279736E-5	22	7.703103551414206E-5	29	7.689187684444673E-5	7	7.483896936681795E-5	19	7.355480248377406E-5	21	7.348851227579615E-5	8	7.266414999755208E-5	4	7.073042426013067E-5	10	6.885709795851621E-5	6	6.783587147891921E-5	0	6.728683835033877E-5	20	6.694146136323827E-5	12	6.319174631966945E-5	9	6.315389468053285E-5	24	6.020747877744584E-5	
7	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0148§0040.txt	6	0.6119905825620954	25	0.20692190494555282	28	0.17859039180953837	14	2.357674621496121E-4	13	1.6802814218920477E-4	5	1.3649285090231459E-4	11	1.2951308412653882E-4	2	1.2398515977135173E-4	18	1.0902502815512937E-4	15	1.0283990156869338E-4	17	1.0248110041285717E-4	16	9.32222421625589E-5	3	8.323199408388223E-5	23	8.29303895327287E-5	26	8.032904967111497E-5	27	8.014464884321974E-5	1	7.573967076176788E-5	22	7.57216707459716E-5	29	7.55848774794942E-5	7	7.356686508935294E-5	19	7.230452632872602E-5	21	7.223936291415315E-5	8	7.142901305202341E-5	4	6.952815656444376E-5	10	6.768667284994045E-5	0	6.614310433573709E-5	20	6.58035980273264E-5	12	6.211762021299197E-5	9	6.208041197170628E-5	24	5.9184078910556015E-5	
8	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/3tc0158_0403-017.txt	1	0.6169047598722533	25	0.3828048271267028	14	2.6327993358262617E-5	13	1.8763589221447915E-5	5	1.5242064529354229E-5	11	1.4462638684755558E-5	2	1.384533910328919E-5	28	1.2572593997746046E-5	18	1.2174751303600796E-5	15	1.1484062392573859E-5	17	1.1443995309687764E-5	16	1.0410064858486403E-5	3	9.294460598828693E-6	23	9.260780622180546E-6	26	8.97029075570487E-6	27	8.94969883972198E-6	22	8.455787861055233E-6	29	8.440512249321386E-6	7	8.21516216784655E-6	19	8.07419765050966E-6	21	8.06692089598877E-6	8	7.976429673860407E-6	4	7.764162312945908E-6	10	7.558525069524989E-6	6	7.446423831213333E-6	0	7.386155815432663E-6	20	7.3482433751348024E-6	12	6.936632720595382E-6	9	6.932477701406089E-6	24	6.609046143454758E-6	
9	file:/home/christof/Repos/cligs/toolbox/tmw/demo/5_lemmata/tc0134§0002.txt	24	0.7639027512309844	25	0.22406039368083708	16	0.009303818940425932	14	2.552951095258573E-4	13	1.8194522082270263E-4	5	1.4779799130420525E-4	11	1.40240119207521E-4	2	1.342543396565981E-4	28	1.2191289013187907E-4	18	1.1805512198396977E-4	15	1.1135770684907955E-4	17	1.1096918767199699E-4	3	9.012575718449358E-5	23	8.979917197117277E-5	26	8.698237384801518E-5	27	8.678269985939541E-5	1	8.20128755948002E-5	22	8.199338471186717E-5	29	8.184526142280369E-5	7	7.966010538189622E-5	19	7.82932123033743E-5	21	7.822265167168753E-5	8	7.73451838696403E-5	4	7.528688727194592E-5	10	7.32928810494678E-5	6	7.220586702894135E-5	0	7.162146511572818E-5	20	7.125383889877621E-5	12	6.726256673068016E-5	9	6.722227668409065E-5	
