,no_sent,no_types,no_tokens,no_hapax
Leblanc_1935=rp039,4258.0,6506.0,52773.0,3373.0
Leblanc_1909=rp037,7652.0,8138.0,64561.0,4289.0
Leblanc_1920=rp141,6921.0,9530.0,92614.0,4832.0
Leblanc_1927=rp145,5056.0,8257.0,67150.0,4227.0
Leroux_1917=rp047,4763.0,9209.0,89500.0,4695.0
Leroux_1910=rp129,14380.0,12966.0,217409.0,5601.0
Leroux_1925=rp056,5912.0,8041.0,85289.0,4006.0
Leroux_1923=rp055,3717.0,7720.0,67456.0,4172.0
