,filenames,binids
1148,tc0154§0024,2
1149,tc0187§0002,0
1150,tc0189§0002,0
1151,tc0152§0014,1
1152,tc0132§0018,2
1153,tc0143§0040,4
1154,tc0179§0025,2
1155,tc0132§0002,0
1156,tc0168§0025,2
1157,tc0178§0026,2
1158,tc0130§0037,4
1159,tc0153§0008,0
1160,tc0143§0011,1
1161,tc0153§0038,4
1162,tc0168§0016,1
1163,tc0143§0004,0
1164,tc0134§0038,4
1165,tc0176§0034,3
1166,tc0187§0004,0
1167,tc0189§0022,2
1168,tc0167§0025,2
1169,tc0160§0029,2
1170,tc0136§0034,4
1171,tc0164§0038,4
1172,tc0146§0007,0
1173,tc0188§0046,4
1174,tc0147§0036,4
1175,tc0143§0005,0
1176,tc0162§0013,1
1177,tc0168§0026,3
1178,tc0187§0012,1
1179,tc0162§0009,0
1180,tc0176§0011,1
1181,tc0132§0013,1
1182,tc0180§0029,3
1183,tc0143§0027,3
1184,tc0136§0015,1
1185,tc0178§0028,3
1186,tc0164§0045,4
1187,tc0143§0038,4
1188,tc0147§0020,2
1189,tc0164§0042,4
1190,tc0139§0025,2
1191,tc0134§0012,1
1192,tc0188§0004,0
1193,tc0188§0031,3
1194,tc0130§0044,4
1195,tc0131§0016,2
1196,tc0158§0020,2
1197,tc0130§0019,2
1198,tc0164§0014,1
1199,tc0136§0006,0
1200,tc0168§0037,4
1201,tc0147§0029,3
1202,tc0191§0040,4
1203,tc0191§0013,1
1204,tc0179§0024,2
1205,tc0189§0012,1
1206,tc0160§0043,4
1207,tc0187§0041,4
1208,tc0187§0009,0
1209,tc0160§0004,0
1210,tc0130§0038,4
1211,tc0176§0019,2
1212,tc0148§0016,1
1213,tc0167§0036,3
1214,tc0153§0042,4
1215,tc0131§0028,3
1216,tc0154§0016,1
1217,tc0187§0025,2
1218,tc0148§0019,2
1219,tc0167§0008,0
1220,tc0150§0008,0
1221,tc0143§0013,1
1222,tc0167§0006,0
1223,tc0188§0014,1
1224,tc0188§0029,3
1225,tc0191§0045,4
1226,tc0180§0020,2
1227,tc0168§0023,2
1228,tc0178§0031,3
1229,tc0164§0027,2
1230,tc0160§0013,1
1231,tc0162§0016,1
1232,tc0168§0012,1
1233,tc0147§0009,1
1234,tc0180§0013,1
1235,tc0132§0016,1
1236,tc0146§0024,2
1237,tc0178§0042,4
1238,tc0152§0009,0
1239,tc0174§0033,3
1240,tc0179§0003,0
1241,tc0158§0018,2
1242,tc0134§0007,0
1243,tc0153§0029,3
1244,tc0150§0024,2
1245,tc0130§0015,1
1246,tc0131§0023,2
1247,tc0130§0025,2
1248,tc0174§0035,4
1249,tc0176§0029,3
1250,tc0150§0021,2
1251,tc0130§0036,3
1252,tc0134§0020,2
1253,tc0174§0007,0
1254,tc0191§0006,0
1255,tc0154§0034,4
1256,tc0143§0037,4
1257,tc0143§0014,1
1258,tc0152§0042,4
1259,tc0162§0005,0
1260,tc0191§0028,3
1261,tc0148§0015,1
1262,tc0179§0035,3
1263,tc0152§0008,0
1264,tc0160§0026,2
1265,tc0155§0018,2
1266,tc0162§0015,1
1267,tc0160§0005,0
1268,tc0174§0038,4
1269,tc0148§0018,2
1270,tc0146§0045,4
1271,tc0150§0016,1
1272,tc0146§0029,3
1273,tc0139§0009,1
1274,tc0168§0040,4
1275,tc0160§0007,0
1276,tc0176§0041,4
1277,tc0139§0007,0
1278,tc0168§0038,4
1279,tc0179§0008,0
1280,tc0150§0001,0
1281,tc0154§0013,1
1282,tc0168§0034,3
1283,tc0130§0017,1
1284,tc0148§0007,0
1285,tc0147§0005,0
1286,tc0143§0003,0
1287,tc0146§0034,3
1288,tc0131§0018,2
1289,tc0154§0037,4
1290,tc0152§0011,1
1291,tc0179§0038,4
1292,tc0164§0046,4
1293,tc0191§0016,1
1294,tc0176§0009,0
1295,tc0188§0020,2
