,filenames,binids
92,tc0176§0020,2
93,tc0150§0038,4
94,tc0131§0035,4
95,tc0130§0041,4
96,tc0152§0029,3
97,tc0167§0043,4
98,tc0174§0006,0
99,tc0158§0028,3
100,tc0180§0010,1
101,tc0158§0005,0
102,tc0188§0005,0
103,tc0179§0036,4
104,tc0155§0025,2
105,tc0167§0002,0
106,tc0154§0023,2
107,tc0188§0013,1
108,tc0158§0027,3
109,tc0136§0030,3
110,tc0164§0018,1
111,tc0160§0037,3
112,tc0147§0011,1
113,tc0155§0028,3
114,tc0130§0042,4
115,tc0178§0039,4
116,tc0139§0032,3
117,tc0191§0021,2
118,tc0147§0038,4
119,tc0134§0027,3
120,tc0150§0031,3
121,tc0150§0012,1
122,tc0134§0026,3
123,tc0189§0023,2
124,tc0188§0041,4
125,tc0158§0003,0
126,tc0180§0035,3
127,tc0191§0004,0
128,tc0191§0023,2
129,tc0158§0038,4
130,tc0148§0011,1
131,tc0191§0010,1
132,tc0150§0026,3
133,tc0152§0024,2
134,tc0167§0017,1
135,tc0178§0012,1
136,tc0191§0034,3
137,tc0178§0035,3
138,tc0155§0009,0
139,tc0148§0035,4
140,tc0134§0032,3
141,tc0188§0036,3
142,tc0178§0025,2
143,tc0188§0043,4
144,tc0179§0010,1
145,tc0134§0006,0
146,tc0153§0006,0
147,tc0191§0041,4
148,tc0146§0039,4
149,tc0160§0035,3
150,tc0155§0042,4
151,tc0152§0034,3
152,tc0179§0031,3
153,tc0143§0036,4
154,tc0139§0030,3
155,tc0180§0004,0
156,tc0191§0012,1
157,tc0139§0038,4
158,tc0132§0039,4
159,tc0147§0014,1
160,tc0180§0044,4
161,tc0174§0019,2
162,tc0130§0003,0
163,tc0152§0003,0
164,tc0189§0030,3
165,tc0178§0021,2
166,tc0155§0027,3
167,tc0187§0027,2
168,tc0150§0009,1
169,tc0180§0026,2
170,tc0180§0012,1
171,tc0187§0022,2
172,tc0158§0033,3
173,tc0147§0015,1
174,tc0148§0038,4
175,tc0178§0006,0
176,tc0143§0008,0
177,tc0162§0039,4
178,tc0178§0020,2
179,tc0155§0010,1
180,tc0191§0014,1
181,tc0146§0013,1
182,tc0158§0022,2
183,tc0147§0023,2
184,tc0176§0005,0
185,tc0168§0007,0
186,tc0164§0010,1
187,tc0155§0041,4
188,tc0147§0012,1
189,tc0164§0013,1
190,tc0148§0022,2
191,tc0189§0014,1
192,tc0143§0016,1
193,tc0187§0013,1
194,tc0153§0010,1
195,tc0131§0030,3
196,tc0164§0006,0
197,tc0134§0003,0
198,tc0143§0007,0
199,tc0178§0002,0
200,tc0130§0012,1
201,tc0180§0033,3
202,tc0148§0028,3
203,tc0168§0019,2
204,tc0189§0032,3
205,tc0146§0036,3
206,tc0167§0003,0
207,tc0164§0040,4
208,tc0152§0017,1
209,tc0174§0003,0
210,tc0160§0027,2
211,tc0146§0010,1
212,tc0187§0001,0
213,tc0178§0003,0
214,tc0188§0015,1
215,tc0188§0003,0
216,tc0187§0046,4
217,tc0131§0029,3
